# Swedish-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:47:47+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Sofia'''	Sofia
ekonomi	economics
ekorre	squirrel
eksem	eczema
ekumenik	ecumenism
ekvation	equation
ekvator	equator
el	electricity
elak	wicked
elak	mean
elasticitetsmodul	Young's modulus
eld	fire
eld	pyre
eldfluga	firefly
eldkastare	flamethrower
eldstad	fireplace
elefant	elephant
elektromagnet	electromagnet
elektromagnetism	electromagnetism
elektron	electron
elev	pupil
elfenben	ivory
elfte	eleventh
eller	or
ellips	ellipse
elva	eleven
embryo	embryo
emergens	emergence
en	an
en	juniper
en	you
en gång	once
en gång per vecka	weekly
enantiomer	enantiomer
encyklopedi	encyclopedia
encyklopedi	encyclopaedia
enda	only
energi	energy
energisk	strong
engagera	absorb
engelsk	English
engelsk mil	mile
engelska	English
engelsman	English
engelsman	Englishman
enhet	unit
enhjuling	unicycle
enhörning	unicorn
enighet	agreement
enkel	simple
enligt	according to
enorm	vast
ensam	alone
ensamhet	solitude
enskild	several
ental	singular
entusiasm	enthusiasm
er	you
era	era
era	age
erbjuda	offer
erhålla	obtain
erkänna	recognize
ersätta	substitute
ersätta	replace
eskatologi	eschatology
esperanto	Esperanto
ess	ace
essä	essay
est	Estonian
estetik	aesthetics
estetisk	aesthetic
estnisk	Estonian
estniska	Estonian
et cetera	etcetera
et cetera, etc.	et cetera
etablerande	establishment
etc, et c.	etc.
etikett	tag
etikett	label
etiologi	aetiology
etnisk rensning	ethnic cleansing
ett par	couple
etta	one
etta	first
eukaryoter	eukaryote
euklidisk geometri	Euclidean geometry
eunuck	eunuch
euro	euro
europeisk	European
europé	European
evig	eternal
examen	degree
examen	examination
exempel	example
existens	existence
existera	exist
experiment	experiment
exploatera	exploit
extern	external
extraordinär	extraordinary
f.Kr	BC
fabrik	factory
fack	sphere
fader	father
fager	fair
fagott	bassoon
faktisk	actual
faktum	fact
faktura	invoice
fakultet	school
fakultet	factorial
falk	falcon
fall	fall
fall	case
falla	fall
fallskärm	parachute
falsk	false
familj	family
famn	fathom
fan	shit
fan	fuck
fan	fan
fantastisk	great
farao	pharaoh
farbror	uncle
farfar	grandfather
farlig	dangerous
farmor	paternal grandmother
fart	speed
fartyg	vessel
fasad	façade
fasan	pheasant
fascism	fascism
fast	solid
fast form	solid
fasta	fast
faster	aunt
fastetid	fast
fastän	while
fat	plate
fatta	get
fattig	poor
fattigdom	poverty
fe	fairy
feber	temperature
februari	February
federation	federation
feg	yellow
feghet	cowardice
fegis	coward
fel	mistake
fel	wrong
fem	five
femhundra	five hundred
femte	fifth
femtio	fifty
femtioett	fifty-one
femtiotvå	fifty-two
femton	fifteen
fenix	phoenix
fest	party
festival	festival
fet	fat
fet	bold
fett	fat
ficka	pocket
ficktjuv	pickpocket
fiende	enemy
figur	figure
fil	file
fila	file
filial	branch
filosof	philosopher
filosofi	philosophy
fin	beautiful
final	final
finansmästare	treasurer
finger	finger
fingerborg	thimble
fingerdjur	aye-aye
finna	find
finne	Finn
finsk	Finnish
finska	Finnish
fiol	violin
fis	fart
fis	wind
fisa	fart
fisk	fish
fiska	fish
fiske	fishing
fiskespö	fishing rod
fiskgjuse	osprey
fiskkrok	fishhook
fiskmås	common gull
fitta	cunt
fitta	pussy
fitta	twat
fjorton	fourteen
fjäder	spring
fjäder	feather
fjäll	scale
fjällig bläcksvamp	lawyer's wig
fjärde	fourth
fjärdedel	quarter
fjäril	butterfly
fjärilsim	butterfly
fladdermus	bat
flagga	flag
flamingo	flamingo
flamländska	Flemish
flaska	bottle
flat	flat
flata	lesbian
flicka	girl
flickvän	girlfriend
flitig	diligent
flock	flock
flod	river
flodhäst	hippopotamus
fluga	fly
fluga	bowtie
flundra	flounder
fluor	fluorine
flyga	fly
flygande tefat	flying saucer
flygkorridor	corridor
flygplan	airplane
flygplan	aeroplane
flygplats	airport
flygvapen	air force
flyktig	ephemeral
flytande	liquid
flytande	fluent
flytta	move
flytta sig	move
fläck	spot
fläcka	dirty
fläkt	fan
fläsk	pork
flöjt	flute
fobi	phobia
foder	fodder
foglig	docile
folk	people
folkmord	genocide
fonem	phoneme
fordon	vehicle
form	shape
formel	formula
fornkyrkoslaviska	Old Church Slavonic
fort	fast
fortfarande	still
fortgång	march
fosfor	phosphorus
foster	fetus
foster	foetus
fostermor	stepmother
fot	foot
fotboll	football
fotboll	soccer
fotgängare	pedestrian
fotografera	photograph
fotografi	photograph
fotografi	picture
foton	photon
framför	before
framhärda	persist
framsteg	progress
framstående	prominent
framtid	future
framåt	onward
framåt	forward
francium	francium
fransk	French
franska	French
fransmän	French
fras	sentence
fras	phrase
fred	peace
fredag	Friday
frekvens	frequency
frestelse	temptation
fri	free
frid	peace
frikalla	absolve
frimärke	postage stamp
fris	Frisian
frisisk	Frisian
frisk	well
frisk	sweet
frisör	barber
frukost	breakfast
frukt	fruit
frukta	fear
fruktan	fear
frysa	freeze
fräken	freckle
främling	alien
främlingsfientlighet	xenophobia
främmande	foreign
främmande	strange
främre	forward
fräsch	fresh
fråga	ask
fråga	question
frågetecken	question mark
från	from
frö	seed
fröken	miss
fukta	wet
fuktig	moist
fuktighet	moisture
ful	ugly
ful	dirty
full	full
fullkomlig	perfect
fullödig	full
fungera	function
fungera	work
funktion	function
futurum	future
fyllo	drunk
fyr	lighthouse
fyra	four
fyrtaktsmotor	four-stroke engine
fyrti	forty
fyrtiett	forty-one
fyrtiofem	forty-five
fyrtiofyra	forty-four
fyrtionio	forty-nine
fyrtiosex	forty-six
fyrtiosju	forty-seven
fyrtiotre	forty-three
fyrtiotvå	forty-two
fyrtioåtta	forty-eight
fysik	physics
fysisk	physical
fäktning	fencing
fält	field
fängelse	prison
färg	paint
färgsätta	Template:color-colour (verb)
färja	ferry
färre	fewer
färöiska	Faroese
fästa	stick
fästing	tick
få	few
få	get
få	may
få	receive
få tag i	get
fågel	bird
fågelskrämma	scarecrow
fågelsång	call
fågelunge	chick
får	sheep
fåra	furrow
fårhund	sheepdog
föda	bear
föda	birth
född	born
födelse	birth
födelsedag	birthday
föl	foal
följa	follow
följaktligen	thus
följande	subsequent
fönster	window
för	ago
för	for
förbanna	curse
förbannelse	curse
förbereda	prepare
förbjuda	forbid
förbjuda	prohibit
förbränning	burn
förbränningsmotor	internal combustion engine
förbättra	improve
fördom	prejudice
före	before
föredraga	prefer
förefalla	seem
föreläsning	talk
förena	unite
förening	society
föreslå	suggest
föreslå	propose
föreställa	present
författare	author
förflutna	past
förflyttning	translation
förfölja	pursue
förgifta	poison
förgätmigej	forget-me-not
förgäves	in vain
förhindra	prevent
förhud	prepuce
förhållande	relationship
förklara	explain
förkläde	apron
förkortad	abbreviated
förkylning	cold
förlora	lose
förlåt	sorry
förlåta	forgive
förmåga	ability
förmörkelse	eclipse
förnamn	first name
förnamn	given name
förra	last year
förra	previous
förresten	by the way
förrgår	ereyesterday
förrgår	day before yesterday
förrättning	function
försats	pre-ejaculate
förse	provide
förste	first
förströelse	recreation
förstärka	reinforce
förstå	appreciate
förstå	understand
förstå	see
förstånd	mind
förstånd	reason
förstånd	brain
förstöra	destroy
förstörd	spoilt
försummelse	neglect
försvinna	go
försvinna	vanish
försäljare	salesman
försäljare	salesperson
försäljning	sale
försöka	attempt
förteckning	index
förutom	but
förutse	foresee
förutsäga	predict
förutsäga	forecast
förälder	parent
föräldralöst barn	orphan
föräldrar	parents
förändring	change
gaffel	fork
galax	galaxy
galen	crazy
galen	nut
galge	gallows
galla	bile
gallium	gallium
galt	boar
gam	vulture
gammal	old
gammelfarfar	great-grandfather
garantera	guarantee
garanti	guarantee
garderob	wardrobe
gas	gas
gaskammare	gas chamber
gata	street
gatlingkanon	Gatling gun
gay	queer
ge	give
ge	hand
ge sig	surrender
ge ut	spend
gemensam	common
gems	chamois
generation	age
genetik	genetic
genitiv	genitive case
genitiv	genitive
genom att	by
genomförbar	feasible
genomslagskopia	carbon
genomsnitt	mean
genomsnittlig	mean
genomtränga	penetrate
genus	gender
geografi	geography
geologi	geology
geometri	geometry
georgier	Georgian
georgiska	Georgian
germanium	germanium
gerundium	gerund
get	goat
geting	wasp
geting	hornet
gevär	rifle
giffel	croissant
gift	poison
gift	venom
gifta sig	marry
giftig	toxic
gikt	gout
giltig	valid
giraff	giraffe
girig	greedy
gissa	guess
gitarr	guitar
gitarrist	guitarist
gitter	lattice
giv mig	give me
glaciär	glacier
glad	happy
glad	gay
glad påsk	Happy Easter
glas	glass
glasharmonika	glass harmonica
glasnost	glasnost
glass	ice cream
glass	ice
glasögon	spectacles
glida	slide
gliring	taunt
global uppvärmning	global warming
globalisation	globalisation
glutenintolerans	coeliac disease
glädje	happiness
glänsande	splendid
glödlampa	light bulb
glömska	oblivion
gnaga	gnaw
gnejs	gneiss
gnida	rub
gnista	spark
gnosticism	Gnosticism
go	go
god	good
god dag	good day
god eftermiddag	good afternoon
god jul	Merry Christmas
god kväll	good evening
god morgon	good morning
god natt	good night
godhet	good
gods	goods
godtycklig	arbitrary
golf	golf
golv	floor
googla	google
googling	google
gorilla	gorilla
gott nytt år	Happy New Year
grad	degree
graf	graph
grafiskt användargränssnitt	graphical user interface
gram	gram
grammatik	grammar
grann	gay
granne	neighbour
grannskap	neighbourhood
grannskap	neighborhood
grape	grapefruit
gratis	free
gratis	gratis
grattis på födelsedagen	happy birthday
gratulera	congratulate
graviditet	pregnancy
grek	Greek
grekisk	Greek
grekiska	Greek
gren	fork
grep	fork
greve	count
grip	griffin
gripa	seize
gris	pig
groda	frog
grotta	cave
grumlig	dirty
grund	shallow
grund	base
grupp	group
gruva	mine
gruvarbetare	miner
gry	dawn
grym	cruel
gryning	dawn
gryt	den
gryta	pot
grädde	cream
gräla	scold
gräns	limit
gräns mot hav	coast
gräs	grass
gräsand	mallard
gräset är alltid grönare på andra sidan	the grass is always greener on the other side
gräshoppa	grasshopper
gräshoppa	locust
gräslök	chive
grävling	badger
grå	grey
gråbo	mugwort
gråhäger	grey heron
gråta	weep
grön	green
gröngöling	green woodpecker
grönländska	Greenlandic
grönsak	vegetable
grönt	vert
gubbe	old man
gud	god
gudinna	goddess
gul	yellow
gul	amber
guld	gold
guld	or
guld-	gold
guldfisk	goldfish
guldmynt	gold
gullig	cute
gulsot	jaundice
gunga	swing
gunga	rock
gurka	cucumber
gurkmeja	turmeric
gylf	fly
gyllene	gold
gynnsam	happy
gädda	pike
gärna	willingly
gärning	deed
gäspa	yawn
gäspning	yawn
gäst	guest
gästgiveri	inn
gå	go
gå	walk
gå ned	set
gå sönder	break
gå upp	get up
gå ut och gå	walk
gård	farm
gård	place
gård	yard
gårdag	yesterday
gås	goose
gåsgam	griffon vulture
gök	cuckoo
göra	do
göra ont	hurt
gördel	belt
ha	have
ha	defecate
ha sönder	break
hackbräde	dulcimer
hackspett	woodpecker
hafnium	hafnium
hagel	hail
hagelgevär	shotgun
hagla	hail
hagtorn	hawthorn
haj	shark
hajj	hajj
haka	chin
hakkors	swastika
hallick	pimp
hallon	raspberry
hallonbuske	raspberry
hallå	hello
hallå	hi
hals	throat
hals	neck
halsband	necklace
halsband	collar
halsduk	scarf
halva	halva
halvbror	half brother
halveringstid	half-life
halvklot	hemisphere
halvledare	semiconductor
halvö	peninsula
hamburgare	hamburger
hammare	hammer
hamn	port
hamn	harbor
hamnstad	port
hamster	hamster
han	he
hand	hand
handboll	handball
handduk	towel
handel	trade
handfat	washbasin
handflata	palm
handla	shop
handled	wrist
handling	act
handling	action
hane	bull
hangarfartyg	aircraft carrier
hans	his
hardnackad	stubborn
hare	hare
harem	harem
harpun	harpoon
harv	harrow
hasselnöt	hazelnut
hassium	hassium
hat	hatred
hata	hate
hatt	hat
havre	oat
hebreisk	Hebrew
hebreiska	Hebrew
hebré	Hebrew
hedonism	hedonism
hel	all
helg	weekend
helgedom	shrine
helikopter	helicopter
helium	helium
heltal	integer
heltal	number
helvete	hell
hem	home
hemgift	dowry
hemland	home
hemlig	secret
hemlighet	secret
hemsk	terrible
henne	her
henne själv	herself
hennes	her
hermafrodit	hermaphrodite
hermelin	ermine
herre gud	oh my God
hertiginna	duchess
het	hot
heterogen	heterogeneous
heterosexualitet	heterosexuality
hicka	hiccup
hidjra	Hegira
hidjra	Hijra
himmel	sky
himmel	heaven
hinder	obstacle
hindi	Hindi
hindra	hinder
hink	bucket
hiss	lift
hiss	elevator
hisskorg	car
historia	history
historia	story
historik	history
hit	here
hjort	deer
hjortron	cloudberry
hjul	wheel
hjälm	helmet
hjälp	help
hjälpa	help
hjälpsam	sweet
hjälpverb	auxiliary verb
hjälte	hero
hjärna	brain
hjärnstammen	brain stem
hjärta	heart
hjärter	heart
hjärtinfarkt	heart attack
hobbit	hobbit
hobby	hobby
hockey	hockey
holländare	Dutch
holländsk	Dutch
holmium	holmium
homeopati	homeopathy
homogen	homogeneous
homosexualitet	homosexuality
homosexuell	gay
homosexuell	homosexual
hon	she
honom	him
honung	honey
hop	heap
hopp	hope
hopp	leap
hoppa	leap
hoppa	spring
hoppa	skip
hoppas	hope
hor	adultery
hora	whore
horn	horn
house	house music
hud	skin
huggorm	viper
humla	bumblebee
hummer	lobster
hund	dog
hund	hound
hundra	hundred
hunger	hunger
hungersnöd	famine
hur	how
hur	how much
hur gammal är du	How old are you?
hur mycket blir det	how much is it
hur är det	how are you
hus	house
husar	hussar
husmus	house mouse
hustru	wife
huvud	head
huvudbry	puzzle
huvudsaklig	principal
huvudsaklig	main
huvudstad	capital
hydda	hut
hyena	hyena
hylla	shelf
hyperbel	hyperbola
hyperlänk	link
hyponym	hyponym
hyra	rent
hyvel	plane
hyvla	plane
häckla	taunt
häftapparat	stapler
häger	heron
häl	heel
hälft	half
hälla	pour
hämnd	revenge
hända	happen
händelse	occurrence
hänglås	padlock
hängmatta	hammock
hänvisa	refer
här	here
härd	stove
härma	copy
häst	horse
häxa	witch
hållfast	strong
hållplats	stop
hårdvara	hardware
hö	hay
hög	tall
hög	high
hög	pile
höger	right
höger-	right
högern	right
högskola	school
högtalare	speaker
högtid	holiday
höja	raise
höjd	height
hök	hawk
höna	hen
höra	hear
hörn	angle
höst	autumn
hövlig	polite
i	today
i går	yesterday
i kväll	tonight
ibland	sometimes
icke dess mindre	nevertheless
idag	today
ideal	ideal
identitet	identity
idiom	idiom
idiot	idiot
idisslare	ruminant
idé	thought
idé	idea
igel	leech
igelkott	hedgehog
igen	again
ihärdighet	perseverance
ikonostas	iconostasis
iktyologi	ichthyology
illamående	nausea
iller	polecat
ilska	anger
imorgon	tomorrow
imperativ	imperative
imperfekt	past tense
imperialism	imperialism
inbördeskrig	civil war
indian	Indian
indiansk	Indian
indier	Indian
indisk	Indian
indium	indium
indonesiska	Indonesian
infarkt	infarct
inflation	inflation
influensa	influenza
influensa	flu
information	information
ingefära	ginger
ingen	no
ingen	nobody
ingen	no one
ingen	none
ingen orsak	you're welcome
ingen rökning	no smoking
ingenjör	engineer
ingenstans	nowhere
inget	nothing
ingång	access
inhemsk	native
inkludera	include
inkomst	income
inlägga	protest
inne	in
innehåll	content
inse	realize
insekt	insect
inskränka	restrict
instrument	instrument
instrumentalis	instrumental case
instämmande	approval
inte	not
intelligent	bright
interferon	interferon
interlingua	Interlingua
internationell	international
internationella fonetiska alfabetet	International Phonetic Alphabet
intressant	interesting
inträda	enter
inuti	within
invändning	objection
iridium	iridium
irisk	Irish
iriska	Irish
irländare	Irish
irländsk	Irish
is	ice
isberg	iceberg
isbjörn	polar bear
ishockey	ice hockey
islam	Islam
isländsk	Icelandic
isländska	Icelandic
israel	Israeli
israelisk	Israeli
istapp	icicle
italiensk	Italian
italienska	Italian
ja	yes
jag	I
jag förstår inte	I don't understand
jag med	me too
jag tror det	I think so
jag vet inte	I don't know
jag är kär i dig	I'm in love with you
jaga	chase
jaga	hunt
jak	yak
jakt	hunt
jakt	chase
jama	meow
januari	January
japan	Japanese
japansk	Japanese
japanska	Japanese
jeans	jeans
jihad	jihad
jo	yes
jobba	work
jod	iodine
jord	earth
jord	soil
jorda	earth
jordbruk	agriculture
jorden	Earth
jordgubbe	strawberry
jordgubbsplanta	strawberry
jordnöt	peanut
joule	joule
journalistik	journalism
joystick	joystick
jude	Jew
judinna	Jewess
judisk	Jewish
judo	judo
juice, saft	juice
jul	Christmas
julafton	Christmas Eve
julgran	Christmas tree
juli	July
jultomten	Santa Claus
jungfru	virgin
juni	June
just	just
justering	adjustment
juvel	gem
juvel	jewel
jägare	hunter
jämn	smooth
jämn	even
järn	iron
järn-	iron
järnväg	railroad
järnåldern	Iron Age
järv	wolverine
jäst	yeast
jätte	giant
kabel	cable
kackerlacka	cockroach
kadaver	cadaver
kadmium	cadmium
kaffe	coffee
kaffebuske	coffee
kaja	jackdaw
kaka	cookie
kakao	cocoa
kaktus	cactus
kalcedon	chalcedony
kalcium	calcium
kalender	calendar
kalium	potassium
kalkon	turkey
kalksten	limestone
kall	cold
kall fusion	cold fusion
kalla	call
kallt krig	cold war
kalv	calf
kam	comb
kamel	camel
kamel	Camelus dromedarius
kamera	camera
kamouflage	camouflage
kamp	struggle
kampanj	campaign
kamrat	friend
kamrat	comrade
kan	may
kanadensisk	Canadian
kanalisera	channel
kanin	rabbit
kanske	maybe
kanske	perhaps
kaos	chaos
kaosteori	chaos theory
kapabel	able
kapital	capital
kapitalism	capitalism
kapplöpning	race
karaktär	character
karamell	sweet
karamell	caramel
karbonpapper	carbon
karboxyl-	carboxylic
karboxylsyra	carboxylic acid
kardinaltal	cardinal number
kardiolog	cardiologist
karelska	Karelian
karriär	career
karta	map
kaskelot	sperm whale
kassaskåp	safe
kassettbandspelare	tape recorder
kast	caste
kasta	throw
kasus	case
katalan	Catalan
katalansk	Catalan
katalanska	Catalan
katapult	catapult
kategori	category
katt	cat
katt	tom
kattdjur	cat
kattuggla	tawny owl
kattunge	kitten
kaviar	caviar
kedja	chain
kejsare	emperor
kemisk	chemical
kemist	chemist
kenotaf	cenotaph
keramik	ceramic
kex	biscuit
keyboard	keyboard
kid	fawn
kikare	binoculars
kikärt	chickpea
kil	wedge
kila runt hörnet	kick the bucket
kille	boy
kilogram	kilogram
kilometer	kilometre
kilometer	kilometer
kinamat	Chinese
kind	cheek
kindtand	molar
kines	Chinese
kineser	Chinese
kinesisk	Chinese
kinesiska	Chinese
kisel	silicon
kisse	pussy
kisse	kitty
kittla	tickle
kivi	kiwi
kiwi	kiwi fruit
kjol	skirt
klar	bright
klarinett	clarinet
klassifikation	classification
klaustrofobi	claustrophobia
klaviatur	keyboard
kliché	cliché
klingonska	Klingon
klippa	rock
klippblock	rock
klippduva	rock dove
klister	glue
klocka	watch
klocka	bell
klockan	o'clock
klockspel	glockenspiel
klor	chlorine
klorofyll	chlorophyll
kloster	monastery
klot	sphere
klot	ball
klubb	club
klubba	club
klubbor	clubs
klä	dress
klä av	undress
kläder	clothes
klädesplagg	garment
klänning	dress
klättra	climb
klösa	scratch
klöver	club
klöver	clover
knacka	knock
knapp	scarce
knappast	hardly
knappnål	pin
knekt	knight
knekt	jack
kniv	knife
knoge	knuckle
knop	knot
knopp	bud
knulla	fuck
knä	knee
knäfalla	genuflect
knäskål	kneecap
ko	cow
koala	koala
kobolt	cobalt
kock	cook
kod	code
koffert	trunk
kofot	crowbar
koka	boil
kokabuske	coca
kokain	cocaine
kokbok	cookbook
kokosnöt	coconut
kol	carbon
kol	coal
koldioxid	carbon dioxide
kolera	cholera
kolhydrat	carbohydrate
kolibri	hummingbird
kolja	haddock
kolon	colon
koloni	colony
koloxid	carbon monoxide
koltrast	blackbird
koma	coma
komet	comet
komma	come
komma ihåg	remember
kommentar	comment
kommer att	will
kommer det börja regna	Is it going to rain?
kommittologi	comitology
kommunism	communism
kommunist	communist
kommunistisk	communist
komparativ	comparative
kompass	compass
kompetent	able
komplett	complete
komplex	complex
komplexa tal	complex number
komplikation	complexity
komponent	component
koncept	concept
konduktör	conductor
konfiskera	confiscate
konflikt	conflict
konjak	cognac
konjunktion	conjunction
konjunktiv	subjunctive
konkret	concrete
konkurrens	competition
konsensus	consensus
konsern	corporation
konserv	tin
konservburk	can
konservera	can
konsonant	consonant
konst	art
konstellation	constellation
konstgjord	false
konståkning	figure skating
kontakta	contact
kontaktlins	contact lens
kontanter	cash
kontanter	money
kontinent	continent
kontor	office
kontroll	control
kontrollera	control
kontrollsumma	checksum
konversation	talk
konversation	conversation
konvertibel mark	convertible mark
konvex	convex
koordinat	coordinate
kopiera	copy
kopp	cup
koppar	copper
koppel	leash
kopra	copra
koran	Qur'an
koranen	Qur'an
koreansk	Korean
koreanska	Korean
korg	basket
korn	barley
korp	raven
korridor	corridor
kors	cross
korsa	cross
korset	cross
korsett	corset
korsord	crossword
korståg	crusade
korv	sausage
kosmologi	cosmology
kossa	cow
kostym	suit
kraft	force
kraftfull	strong
kram	hug
krama	hug
kran	crane
kratta	rake
krav	requirement
kreativ	creative
krets	circle
kricket	cricket
krig	war
krigare	warrior
krigföring	warfare
krigsfånge	prisoner of war
krimtatariska	Crimean Tatar
kris	crisis
kristall	crystal
kristen	Christian
kroat	Croatian
kroatisk	Croatian
kroatiska	Croatian
krog	pub
krokodil	crocodile
krom	chromium
kromosom	chromosome
krona	crown
kronhjort	red deer
kronärtskocka	artichoke
kropp	body
kropp	field
krusbär	gooseberry
krycka	crutch
krypa	creep
krypton	krypton
kryptonit	kryptonite
kräfta	crayfish
kräkas	vomit
kräm	cream
kränga	rock
kränkning	violation
kråka	crow
kub	cube
kubism	cubism
kuckeliku	cock-a-doodle-doo
kudde	pillow
kuk	cock
kula	bullet
kula	ball
kullager	ball bearing
kulspetspenna	ballpoint pen
kulspruta	machine gun
kulting	piglet
kultur	culture
kund	customer
kung	king
kungarike	kingdom
kungsörn	golden eagle
kunna	can
kunna	know
kunskap	knowledge
kunskap	science
kur	cure
kurdiska	Kurdish
kurragömma	hide and seek
kurs	course
kurva	curve
kurva	arc
kusin	cousin
kuvert	envelope
kvabbso	lumpsucker
kvacksalveri	quackery
kvadrat	square
kvadratrot	square root
kvalitet	quality
kvantisering	quantization
kvar	left
kvark	quark
kvartal	quarter
kvast	broom
kvicksand	quicksand
kvicksilver	mercury
kvinna	woman
kvinnor	women
kvinnotjusare	womanizer
kvist	stick
kvitto	receipt
kväkare	Quaker
kväll	evening
kvällning	nightfall
kvällsmat	supper
kväve	nitrogen
kyckling	chicken
kyla	cold
kylskåp	refrigerator
kypare	waiter
kyrillisk	Cyrillic
kyrka	church
kyss	kiss
kyssa	kiss
kyssas	kiss
källa	spring
källa	root
källkod	source code
känguru	kangaroo
känna	know
känna	feel
kännemärke	feature
känsla	feeling
känslor	feeling
käpp	stick
kärlek	love
kärna	core
kålrot	swede
kålrot	rutabaga
kåt	horny
kö	queue
kök	kitchen
kön	sex
köpa	buy
kör	choir
körsbär	cherry
körsbärsträd	cherry
körtel	gland
lacrosse	lacrosse
ladda ner	download
lag	law
lag	team
laga mat	cook
lagas	cook
lager	laurel
lager	coat
lager	stock
lagligt	legal
lakan	sheet
lamm	lamb
land	country
land	land
land-	country
landmina	land mine
landsbygd	country
lantan	lanthanum
laotier	Lao
laotier	Laotian
laotiska	Lao
laotiska	Laotian
larv	caterpillar
larv	larva
lastbil	truck
latin	Latin
latinsk	Latin
latinska alfabetet	Latin alphabet
lav	lichen
lavin	avalanche
lawrencium	lawrencium
lax	salmon
le	smile
leda	head
leda	lead
leda	lead/experiment2
leda	lead/experiment
ledare	head
ledare	conductor
ledig	vacant
ledighet	holiday
ledsen	sad
ledsen	sorry
leende	smile
legering	alloy
lejon	lion
lejoninna	lioness
leka	play
leksak	toy
lektion	lesson
lemur	lemur
leopard	leopard
lera	mud
lera	clay
lett	Latvian
lettiska	Latvian
leva	live
levande	live
lever	liver
levermossa	liverwort
levitation	levitation
lexem	lexeme
lida	suffer
liftare	hitchhike
ligg	fuck
ligga	lie
lik	corpse
lik	similar
lika	as
likformig	uniform
likna	resemble
likör	liqueur
lila	purple
lilja	lily
liljekonvalj	lily of the valley
lillfinger	little finger
lin	flax
lingvistik	linguistics
linjal	ruler
linje	line
linjär algebra	linear algebra
lins	lens
lita på	rely
lite	a little
liten	small
liten	little
liter	litre
literary: mammaknullare	motherfucker
litium	lithium
litteratur	literature
liv	life
liviska	Livonian
livmoder	womb
livselixir	elixir of life
livslängd	age
livstid	life
livsviktig	vital
ljud	noise
ljuda	sound
ljudhastighet	speed of sound
ljuga	lie
ljum	lukewarm
ljus	light
ljus	candle
ljus	bright
ljuskrona	chandelier
ljusstake	candlestick
ljusår	light year
ljuv	sweet
lo	lynx
lock	cover
lock	lid
lockespindel	harvestman
logaritm	logarithm
logik	logic
lok	engine
lokativ	locative
lokförare	engineer
lol, asg	lol
loppa	flea
loppspel	tiddlywinks
lova	praise
luft	air
lufta	air
luftballong	balloon
lugn	quiet
lukt	odour
lukt	smell
lukt	scent
lukta	smell
lunch	lunch
lunga	lung
lus	louse
lycka till	good luck
lyckosam	lucky
lydig	obedient
lydnad	obedience
lyra	lyre
lysa	shine
lysin	lysine
lyssna	listen
läder	leather
lägenhet	apartment
lägga	place
lägga	put
lägga	lay
läkare	physician
läkemedel	medicine
lämna	leave
lämna	quit
längd	length
längta	long
länk	link
läpp	lip
läppstift	lipstick
lära	teach
lärare	teacher
lärare	professor
lärka	lark
lärobok	textbook
läsa	read
läsbar	legible
läsk	soda
läsk	soft drink
lätt	easy
lätt	light
lättnad	relief
läxa	homework
låg	low
låna (ut)	lend
lång	long
långfinger	middle finger
långfredag	Good Friday
långsam	slow
långt	far
lår	thigh
lår	case
lås	lock
låtsa	pretend
löfte	promise
lögn	lie
lögnare	liar
löjlig	ridiculous
lök	onion
lön	salary
lön	wage
lönn	maple
löpare	bishop
lördag	Saturday
lösa	resolve
lösning	solution
löv	leaf
machete	machete
madrass	mattress
magasin	shop
magasin	magazine
mage	stomach
mage	belly
magnesium	magnesium
magnetisk	magnetic
magnetism	magnetism
maj	May
majonnäs	mayonnaise
majoritet	majority
majrova	turnip
majs	maize
majs	corn
make	twin
make	husband
makrilli	mackerel
makroekonomi	macroeconomics
makt	power
mal	moth
mala	grind
malajiska	Malay
mall	template
malm	ore
malört	wormwood
malört	absinth
mamma	mummy
mamma	mum
mammut	mammoth
man	man
man	one
man	you
man	mane
mandarin	Mandarin
mandarin	mandarin orange
mandarin	Chinese
mandarin	mandarin
mandarinträd	mandarin orange
mandel	almond
mandelträd	almond
manet	jellyfish
mangan	manganese
mango	mango
maniok	cassava
marin	navy
marionett	puppet
marionett	marionette
mark	mark
markgreve	margrave
marmor	marble
mars	March
marsch	march
marschera	march
marshalliska	Marshallese
marsian	Martian
marsvin	guinea pig
martyr	martyr
marxism	Marxism
mask	worm
maskin	machine
maskinöversättning	machine translation
maskros	dandelion
massaker	massacre
massförstörelsevapen	weapon of mass destruction
massförstörelsevapen	weapons of mass destruction
massiv	solid
mast	mast
mat	food
mata	feed
match	match
match	fight
matematik	mathematics
matematiker	mathematician
matolja	oil
matris	matrix
matros	sailor
matt	checkmate
matta	carpet
mc	bike
med	with
med vänliga hälsningar	best regards
medalj	medal
medan	while
medan	as
meddela	notify
meddelande	message
medelmåttig	mediocre
medeltiden	Middle Ages
medicin	medicine
medlidande	pity
medurs	clockwise
medvetande	consciousness
medveten	conscious
meitnerium	meitnerium
meja	mow
melankoni	melancholy
melanom	melanoma
melass	molasses
melass	treacle
mellan	between
mellangård	perineum
mellanrum	space
melodi	melody
men	but
mena	mean
mendelevium	mendelevium
mening	opinion
menora	menorah
menstruation	menstruation
menuett	minuet
meny	menu
mervärdesskatt	value added tax
mes	tit
mesencephalon	midbrain
