# French-English dictionary created from English Wiktionary
# Created on: 2011-03-23T11:21:30+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Mickey Mouse'''	Mickey Mouse
biochimie	biochemistry
biographie	biography
biologie	biology
biologique	biological
biscuit	cookie
biscuit	biscuit
bison	buffalo
bison d'amérique	American bison
bison d'europe	European bison
bison d'europe	wisent
bit	bit
bitte	dick
bizarre	odd
bière	beer
bière anglaise	ale
biélorusse	Belorussian
blaireau	badger
blanc	white
blatte	cockroach
blesser	wound
blessure	injury
blessure	wound
bleu	blue
blog	blog
blé	wheat
blé sarrasin	buckwheat
boeuf	steer
bogue	bug
bohrium	bohrium
bohémien	gypsy
boire	drink
bois	wood
bois	woodwind instrument
bois	woods
bois	antler
bois	timber
boisson	drink
boisson	beverage
boisson gazeuse	soda
boisson gazeuse	soft drink
bol	bowl
bombarder	bomb
bombe	bomb
bombe atomique	atomic bomb
bombe atomique	A-bomb
bombe atomique	atom bomb
bombe atomique	Template:A-bomb/Translations
bon	good
bon anniversaire	happy birthday
bon appétit&nbsp;!	bon appétit
bon marché	cheap
bonbon	candy
bonheur	happiness
bonhomme de neige	snowman
bonjour	good morning
bonjour	good day
bonjour	good afternoon
bonne	maid
bonne année	Happy New Year
bonne chance	good luck
bonne nuit	good night
bonsoir	good evening
boomerang	boomerang
bord	shore
bord	edge
bordel	brothel
bore	boron
bosse	hump
botte	boot
bouc émissaire	scapegoat
bouche	mouth
boucher	butcher
bouclier	shield
bouddhisme	Buddhism
boue	mud
bouger	move
bougie	candle
bougie d'allumage	spark plug
bougnoule	nigger
bouillon	broth
boulanger	baker
boulangerie	bakery
boule	ball
boule de neige	snowball
bouleau	birch
bouledogue	bulldog
bouquet	bouquet
bouquetin	ibex
bourdon	bumblebee
bourgeon	bud
bourse	purse
bousiller	fuck
boussole	compass
bouteille	bottle
boutique	shop
bouton	pimple
bovin	cattle
bovin	cow
boxe	boxing
boxeur	boxer
boîte	box
boîte de conserve	can
bracelet	bracelet
braguette	fly
bras	arm
brasse	fathom
brebis	ewe
bref	brief
breton	Breton
bridge	bridge
briller	shine
brique	brick
briquet	lighter
brise	breeze
briser	break
britannique	British
broche	brooch
brochet	pike
brochure	brochure
brome	bromine
brosse	brush
brosse à dents	toothbrush
brosser	brush
brouette	wheelbarrow
brouillard	fog
brouillard	mist
bru	daughter-in-law
bruit	noise
brun	brown
brusque	abrupt
brut	coarse
bruyère	heather
brésilien	Brazilian
brûler	burn
buffle	buffalo
buisson	bush
bulgare	Bulgarian
bulle	bull
bureau	office
bureau	desk
bureaucratie	bureaucracy
burqa	burka
buse	buzzard
but	goal
but	purpose
butor	bittern
bâillement	yawn
bâiller	yawn
bâtard	bastard
bâtiment	building
bâton	stick
bâton	bat
bâton	club
bébé	baby
bélier	ram
bénir	bless
béquille	crutch
béret	beret
béryllium	beryllium
bétail	livestock
béton	concrete
bêche	spade
bête	beast
bœuf	ox
bœuf	beef
c.-à-d.	i.e.
cabane	hut
cacao	cocoa
cachalot	sperm whale
cache-cache	hide and seek
cacher	hide
cactus	cactus
cadavre	corpse
cadavre	cadaver
cadeau	present
cadenas	padlock
cadmium	cadmium
café	coffee
caféier	coffee
cafétéria	cafeteria
caguer	shit
caille	quail
caillou	pebble
caisse claire	snare drum
calcaire	limestone
calcium	calcium
calcul	stone
calculatrice	calculator
calculer	calculate
calcédoine	chalcedony
calembour	pun
calendrier	calendar
caleçon	pants
caleçon	underpants
californium	californium
calme	quiet
calomnie	slander
camarade	comrade
camion	truck
camouflage	camouflage
campagne	country
campagne	campaign
canadien	Canadian
canal déférent	vas deferens
canaliser	channel
canapé	sofa
canard	duck
canard colvert	mallard
canardeau	duckling
canari	canary
cancer	cancer
candidat	candidate
cane	duck
canne	sugar cane
canne	stick
canne	cane
canne à pêche	fishing rod
canneberge	cranberry
cannelier	cinnamon
cannelle	cinnamon
canon	cannon
cap de Bonne-Espérance	Cape of Good Hope
capable	able
capillaire	capillary
capital	capital
capitale	capital
capitalisme	capitalism
capter, piger	get
caractère	character
caractéristique	feature
carassin doré	goldfish
carbone	carbon
carboxylique	carboxylic
cardinal	cardinal
cardiologue	cardiologist
carillon	glockenspiel
carotte	carrot
carpe	carp
carquois	quiver
carreau	tile
carrière	career
carré	square
carte	map
carte	menu
carte postale	postcard
carte à jouer	playing card
carélien	Karelian
cas	case
cas ergatif	ergative case
cascade	waterfall
casque	helmet
casse-toi	get lost
casser	break
castor	beaver
catalan	Catalan
catalogue	catalogue
catapulte	catapult
cathédrale	cathedral
cathéter	catheter
catégorie	category
cauchemar	nightmare
cause	reason
cause	case
cavalier	knight
cavalier	rider
caverne	cave
caviar	caviar
ce	this
ce	it
ce	tonight
ce que	what
ce soir	tonight
ceinture	belt
cellule	cell
cellule souche	stem cell
celtique	Celtic
celui-la, ce premier(e); précédent	former
cendre	ash
cendrier	ashtray
cent	hundred
cent	cent
centimètre	centimetre
centre	core
centre ''m''	Template:center-centre-noun
centurie	century
cependant	however
cercle	circle
cercler	circle
cerf	deer
cerf	stag-beetle
cerf commun	red deer
cerf-volant	kite
cerise	cherry
cerisier	cherry
cerveau	brain
ces	these
cesser	cease
chacun	everyone
chahada	shahada
chair	flesh
chaise	chair
chaland	barge
chaleureux	warm
chambre	bedroom
chambre	chamber
chambre à gaz	gas chamber
chameau	camel
chameau	Camelus dromedarius
chamois	chamois
champ	field
champagne	champagne
champignon	mushroom
chance	luck
chance	chance
chanceux	lucky
chandelier	candlestick
changement	change
changement de régime	regime change
changer	change
chanson	song
chant	call
chanter	sing
chanteur	singer
chanvre	hemp
chanvre de Manille	Manila hemp
chaos	chaos
chapeau	hat
chapitre	chapter
chaque	every
chaque	each
charbon	coal
charbon	carbon
charbon	anthrax
charbon	charcoal
chardon	thistle
charlatanisme	quackery
charmant	sweet
charme	spell
charrette	waggon
charrette	wagon
charrue	plow
charrue	plough
chas	eye
chasse	hunt
chasser	hunt
chasseur	hunter
chat	cat
chat de Schrödinger	Schrödinger's cat
chaton	pussy
chaton	kitten
chatouiller	tickle
chatte	pussy
chatte	cunt
chaud	warm
chaudronnier d'argent	silversmith
chaussette	sock
chaussure	shoe
chaussée	pavement
chauve	bald
chauve-souris	bat
chaîne	chain
chef	head
chef	cook
chef	leader
chef d'orchestre	conductor
chemin de fer	railroad
cheminée	fireplace
chemise	shirt
chemisier	blouse
chenille	caterpillar
cher	expensive
chercher	search
chercher	seek
cheval	horse
chevalier	knight
cheveu	hair
cheville	ankle
chevreuil	roe deer
chevêche	little owl
chewing-gum	chewing gum
chien	dog
chien de berger	sheepdog
chien de chasse	hound
chien de prairie	prairie dog
chienne	bitch
chiffre	numeral
chiffre	digit
chiffre	figure
chimique	chemical
chimiste	chemist
chimpanzé	chimpanzee
chinois	Chinese
chiot	puppy
chirurgien	surgeon
chlore	chlorine
choc	shock
chocard à bec jaune	alpine chough
chocolat	chocolate
choisir	choose
choisir	name
choisir	select
choix	choice
choléra	cholera
chose	thing
chou	cabbage
chou-fleur	cauliflower
choucas	jackdaw
chouette effraie	barn owl
chouette hulotte	tawny owl
chrome	chromium
chromosome	chromosome
chrétien	Christian
chuchotement	whisper
chuchoter	whisper
chut	shh
chute	fall
châtaigne	chestnut
château	castle
chèque	check
chèque	cheque
chèvre	goat
chéri	honey
chêne	oak
chômage	unemployment
chœur	choir
chœur	chorus
cible	aim
ciboulette	chive
cicatrice	scar
ciel	sky
ciel	heaven
cigale	cicada
cigare	cigar
cigarette	cigarette
cigogne	stork
cil	eyelash
cime	peak
cimetière	cemetery
cimetière	graveyard
cinq	five
cinq cents	five hundred
cinquante	fifty
cinquante et un	fifty-one
cinquante-six	fifty-six
cinquième	fifth
cinéma	movie
cinéma	cinema
cinéma	picture
cirage	shoe polish
circoncision	circumcision
circonférence	circumference
circulation	traffic
cire	wax
cire d'abeille	beeswax
ciseaux	scissors
citation	quotation
cithare	zither
citron	lemon
citronelle	lemon balm
citronnade	lemonade
citronnier	lemon
citrouille	pumpkin
clandestin	clandestine
clarinette	clarinet
classification	classification
claustrophobie	claustrophobia
clavecin	harpsichord
clavicule	collarbone
clavier	keyboard
clavier électronique	keyboard
clef	key
cliché	cliché
client	customer
client	guest
climat	climate
clope	smoke
clore	close
clou	nail
clou de girofle	clove
clouer	nail
clown	clown
club	club
clôture	fence
cobalt	cobalt
coca	cola
coca	coca
cocaïne	cocaine
coccinelle	ladybird
coccinelle	ladybug
cochon	pig
cochon	dirty
cochon d'Inde	guinea pig
cochonnet	piglet
cocktail	cocktail
cocorico	cock-a-doodle-doo
code	code
coffre	chest
coffre	trunk
coffre-fort	safe
coiffeur	barber
coin	wedge
coin	corner
col	collar
colibri	hummingbird
collaborer	collaborate
collage	collage
colle	glue
coller	stick
collier	necklace
colline	hill
collision	wreck
collège	school
colombe	dove
colonel	colonel
colonie	colony
colonne vertébrale	spine
colorer	Template:color-colour (verb)
colère	anger
combat	fight
combattre	fight
combien	how much
combien ça coûte	how much is it
comestible	edible
comitologie	comitology
comité	committee
commande	order
commander	head
commander	order
comme	as
comme	like
commencer	begin
comment	how
commentaire	comment
commerce	trade
commissariat	police station
commode	convenient
commun	common
commune	town
communisme	communism
communiste	communist
commérage	gossip
compagnie	company
comparatif	comparative
compas	pair of compasses
compassion	pity
complet	suit
complet	complete
complet	full
complexe	complex
complexité	complexity
comportement	behavior
comportement	behaviour
composant	component
comprendre	understand
compter	count
compter sur	rely
compétence	competency
compétition	competition
comte	count
comtesse	countess
comté	county
comète	comet
con	cunt
con	twat
concept	concept
conception	design
concours	competition
concret	concrete
condition mortelle	mortality
conducteur	conductor
conducteur	driver
conduit	pipe
confisquer	confiscate
confiture	jam
confiture	jelly
conflagration	conflagration
conflit	conflict
confondre	abash
congeler	freeze
congé	holiday
conjecture	guess
conjonction	conjunction
connaissance	knowledge
connaisseur	connoisseur
connaître	know
conneries	bullshit
consanguinité	consanguinity
conscience	conscience
conscience	consciousness
conscient	conscious
conseil	advice
consensus	consensus
conserver	can
considérer	think
consommer	consumption
consonne	consonant
consonne roulée	trill
constante de Planck	Planck's constant
constellation	constellation
construction	building
construire	build
contact	contact
contacter	contact
contagion	contagion
conte	fable
conte de fées	fairy tale
contemporain	contemporary
content	glad
contenu	content
continent	continent
contrat	contract
contrat	agreement
contre	against
contre	versus
contredire	contradict
contrôle	control
contrôler	control
convenable	proper
converger	meet
conversation	talk
conversation	conversation
convexe	convex
coordonnée	coordinate
copier	copy
coprah	copra
coprin chevelu	lawyer's wig
coq	rooster
coq	cock
coquille	scallop
cor	horn
cor anglais	cor anglais
corail	coral
coran	Qur'an
corbeau	raven
corbeau freux	rook
corde	rope
corde	string
cordialement	best regards
cormoran	cormorant
corne	horn
corneille	crow
cornemuse	bagpipes
cornouaillais	Cornish
corporation	corporation
corps	body
corps	field
corpus	body
correct	right
corriger	right
corruption	bribery
corset	corset
coréen	Korean
cosmologie	cosmology
coton	cotton
cou	neck
cou	nape
couche	diaper
couche	coat
couche	layer
coucher	set
coucher	lay
coucher de soleil	sunset
coucou	cuckoo
coudre	sew
couille	ball
couille	nut
couler	flow
couleur	Template:color-colour (noun)
couleur d'ambre	amber
couloir	corridor
couloir aérien	corridor
coup d'État	coup d'état
coup de pied	kick
coupe	haircut
couper	mow
couple	couple
couple	ordered pair
cour	yard
courage	courage
courage	bravery
courageux	brave
courageux	bold
courant	current
courant	stream
courant	fluent
courbe	curve
courir	run/experiment
courir	run
couronne	crown
courrier électronique	e-mail
cours	course
course	race
cousin	cousin
coussin	cushion
couteau	knife
couvercle	lid
couverts	cutlery
couverture	blanket
couverture	cover
coyote	coyote
crabe	crab
cracher	spit
craie	chalk
craie	chaulk
craindre	fear
crapaud	toad
cravate	tie
cravate	necktie
crayon	pencil
crever	kick the bucket
crevette	shrimp
cri	cry
cric	jack
cricket	cricket
crier	shout
crier	scream
crier	yell
crise	crisis
cristal	crystal
critique	criticism
critère	criterion
croc	fang
crochet	hook
croisade	Crusade
croisade	crusade
croissant	croissant
croix	cross
crotale	rattlesnake
croyance	belief
croûte	crust
cru	raw
cruel	cruel
crustacé	crustacean
crâne	skull
crème	cream
crème-glacée	ice
créateur	creator
créatif	creative
création	creation
créativité	creativity
créature	being
créature	creature
créer	create
crépuscule	sunset
crêpe	pancake
cube	cube
cubisme	cubism
cuiller	spoon
cuiller à soupe	tablespoon
cuillère à café	teaspoon
cuir	leather
cuirassé	battleship
cuire	fire
cuire	cook
cuisine	kitchen
cuisiner	cook
cuisse	thigh
cuit	cooked
cuivre	copper
cuivré	copper
cul	ass
culpabilité	guilt
culture	culture
culturisme	bodybuilding
culturiste	bodybuilder
curcuma	turmeric
cure-dent	toothpick
curiosité	curiosity
curium	curium
curriculum vitæ	curriculum vitae
cycle à quatre temps	four-stroke engine
cyclone	cyclone
cygne	swan
cylindre	cylinder
cymbales	cymbal
cyprès	cypress
cyrillique	Cyrillic
câble	cable
cèdre	cedar
cécité	blindness
cédille	cedilla
céleri	celery
célibataire	bachelor
célibataire	unmarried
cénotaphe	cenotaph
céramique	ceramic
cérium	cerium
cérumen	earwax
césium	caesium
côlon	colon
côte	coast
côté	side
cœlialgie	coeliac disease
cœur	heart
c’est de l’hébreu pour moi	it's all Greek to me
d'après	after
d'est	east
d'étain	tin
daim	fallow deer
dame	queen
dame	lady
dangereux	dangerous
danois	Danish
dans	in
dans	within
dans le sens	anticlockwise
dans le sens	clockwise
danse	dance
danser	dance
danseur	dancer
darmstadtium	darmstadtium
date	date
date de naissance	birthday
datif	dative case
datif	dative
datte	date
dauphin	dolphin
de	from
de	by
de	of
de	stone
de	on
de béton	concrete
de chocolat	chocolate
de cire	wax
de fer	iron
de jardin	garden
de la campagne	country
de nos jours	today
de nos jours	nowadays
de nouveau	again
de plus	moreover
de poisson	fish
de qui	whose
de rien	you're welcome
degré	degree
demain	tomorrow
demander	ask
demandeur	plaintiff
demeurer	remain
demi-frère	half brother
demi-vie	half-life
demoiselle	maid
densité	density
dent	tooth
dent de sagesse	wisdom tooth
dent saillante	tusk
dentelle	lace
dentifrice	toothpaste
dentiste	dentist
depends on the kind of law applicable: droit d'auteur	copyright
depuis	since
dernier	last
derrière	back
derrière	after
derrière	behind
derviche	Dervish
des conneries	shit
dessert	dessert
dessiner	draw
dessus	top
destin	fate
destinée	destiny
deutérium	deuterium
deux	two
deux	twice
deux points	colon
deuxième	second
devant	before
devenir	become
deviner	guess
devoir	owe
devoir	duty
devoir	must
devoir	homework
diable	devil
dialecte	dialect
dialectologie	dialectology
dialogue	dialogue
diamant	diamond
diamètre	diameter
diarrhée	diarrhea
dictateur	dictator
dictionnaire	dictionary
dieu	god
diffamation	defamation
difficile	difficult
différence	difference
différends	strife
différent	different
digestion	digestion
diligent	diligent
dimanche	Sunday
dinde	turkey
dinosaure	dinosaur
diplôme	degree
discours	speech
discussion	discussion
discuter	discuss
disparaître	vanish
disperser	scatter
disponibilité	availability
disque	circle
disquette	diskette
distance	distance
distant	remote
distributeur automatique	vending machine
district	district
divers	various
diviser	divide
diviser	split
division	division
divorce	divorce
dix	ten
dix mille	ten thousand
dix-huit	eighteen
dix-neuf	nineteen
dix-sept	seventeen
dixième	tenth
dobra	dobra
docile	docile
dodo	dodo
dogue	mastiff
doigt	finger
doigt	digit
doigt de pied	toe
domestique	servant
domestique	tame
don	gift
donation	donation
donc	ergo
donner	give
donner	kick
donner	donate
donner	hand
donnez-moi	give me
dormir	sleep
doré	gold
dorénavant	henceforth
dos	back
dossier	folder
dot	dowry
douche	shower
doucher	shower
douleur	pain
douleur	ache
douma	duma
doute	doubt
douter	doubt
doux	sweet
doux	mild
douzaine	dozen
douze	twelve
douzième	twelfth
doxologie	doxology
dragon	dragon
drap	sheet
drapeau	flag
drastique	drastic
drogue	drug
droit	right
droit	law
droit	straight
droite	right
droite	line
droits de l'homme	human rights
dromadaire	dromedary
du	after
duc	duke
duchesse	duchess
dune	dune
dur	hard
dur	harsh
dynamique	dynamics
dès que possible	ASAP
dé	die
débat	debate
débattre	debate
débiteur	debtor
début	start
début	beginning
décalage vers le rouge	redshift
décembre	December
décennie	decade
déchirer	tear
décimètre	decimetre
déclaration	statement
déclarer	declare
déclinaison	declension
découvrir	discover
décédé	deceased
dédaigner	despise
déesse	goddess
défaire	defeat
défaite	defeat
défaitisme	defeatism
défaut	fault
défense de	no
défense de fumer	no smoking
défilé	march
défunt	deceased
déféquer	shit
déféquer	feceate
dégoût	disgust
déisme	deism
déjeuner	lunch
déjà	already
délicieux	delicious
délire	delirium
démissionner	resign
démocratie	democracy
démocratique	democratic
démontrer	show
déménager	move
déodorant	deodorant
déplorer	mourn
dépression	depression
désert	desert
déserter	desert
déshabiller	undress
désir	desire
désolé	sorry
détester	abhor
détester	abominate
détournement	embezzlement
détruire	destroy
dévorer	wolf
dîner	dinner
d’or	gold
eau	water
eau potable	drinking water
eczéma	eczema
effendi	effendi
effet de serre	greenhouse effect
efficience	efficacy
effiloché	shoddy
effrayer	scare
eh oh	hello
elfe	elf
elle	she
elle-même	herself
ellipse	ellipse
embouchure	mouth
embouteiller	bottle
embrasser	kiss
embryon	embryo
empereur	emperor
empire	empire
employer	employ
employé	employee
empoisonner	poison
empreinte digitale	fingerprint
emprisonner	imprison
emprunt	loan
emprunter	borrow
empêcher	prevent
en accordéon	concertina
en avant	onward
en avant	forward
en effet	indeed
en fait	actually
en papier	paper
en personne	in person
en personne	in the flesh
en train	about
en vain	in vain
enceinte	pregnant
enclume	anvil
encore	yet
encore	still
encourager	encourage
encre	ink
enculer	fuck
encyclopédie	encyclopedia
encyclopédie	encyclopaedia
encéphalopathie	encephalopathy
encéphalopathie spongiforme bovine	bovine spongiform encephalopathy
enfant	child
enfants	children
enfer	hell
enfin	finally
enfoncer	embed
engourdi	numb
enlever	remove
ennemi	enemy
ennemi	foe
ennui	boredom
ennuyeux	boring
ennuyeux	dull
ennuyé	bored
enregistrer	record
enregistrer	register
enseigner	teach
ensemble	together
ensemble	set
ensemble des parties	power set
ensemble vide	empty set
entendre	hear
enthousiasme	enthusiasm
entier	integer
entonnoir	funnel
entourer	circle
entrailles	guts
entraver	hinder
entraînement	training
entraîner	coach
entraîneur	coach
entre	between
entrepôt	warehouse
entrer	enter
entretien	service
entropie	entropy
entrée	entrance
enveloppe	envelope
envie	envy
environ	about
environnement	environment
environnement graphique	graphical user interface
envoyer	send
erotique	erotic
errant	errant
es	are
escalier	stairs
escalier	stair
escargot	snail
eschatologie	eschatology
escrime	fencing
espace	space
espace	room
espadon	swordfish
espagnol	Spanish
espagnol	Spaniard
esperluette	ampersand
espion	spy
espionner	spy
espoir	hope
esprit	spirit
espèce	species
espèces	cash
espéranto	Esperanto
espérer	hope
essai	essay
essence	gasoline
essence	petrol
essence sans plomb	unleaded fuel
est	east
est	is
esthétique	aesthetic
estomac	stomach
estonien	Estonian
esturgeon	sturgeon
et	and
et cétéra	et cetera
etc.	etc.
eucalypte	eucalyptus
eucaryote	eukaryote
eunuque	eunuch
euro	euro
européen	European
euthanasie	euthanasia
eux-mêmes	themselves
exactement	exactly
exactitude	accuracy
exagérer	exaggerate
examen	examination
excommunication	excommunication
excusez-moi	pardon me
exemple	example
exigence	requirement
existence	being
existence	existence
exister	exist
expliquer	explain
exploit	feat
exploiter	exploit
expression	expression
expression	phrase
expérience	experiment
externe	external
extraordinaire	extraordinary
extraterrestre	extraterrestrial
extraterrestre	alien
fabrique	plant
face	face
faché	angry
facile	easy
facture	invoice
faible	weak
faiblesse	weakness
faillite	bankrupt
faillite	bankruptcy
faim	hunger
faire	do
faire	roll
faire	act
faire	be
faire	give a blowjob
faire	hitchhike
faire bouillir	boil
faire cuire	cook
faire d'une pierre deux coups	kill two birds with one stone
faire de l'agitation	stir up
faire face à	face
faire frire	fry
faire l'amour	love
faire l'amour	make love
faire la pêche	fish
faire les magasins	shop
faire mal	hurt
faire un rot	burp
faire une génuflexion	genuflect
faire une montagne d'une taupinière	make a mountain out of a molehill
faisable	feasible
faisan	pheasant
faiseur	actor
fait	fact
falaise	cliff
familier	colloquial
famille	family
famine	famine
fan	fan
fantôme	ghost
faon	fawn
farce	prank
farine	flour
fascisme	fascism
fast-food	fast food
fatigué	tired
faucheur	harvestman
faucille	sickle
faucon	falcon
faucon	hawk
faucon	kestrel
faucon crécerelle	common kestrel
faucon crécerelle	kestrel
faucon pèlerin	peregrine falcon
faute	mistake
fauteuil roulant	wheelchair
faux	false
faux	wrong
faux	scythe
faveur	favor
façade	façade
feindre	pretend
fellation	fellatio
femelle	female
femme	woman
femme	wife
femme d'affaires	businesswoman
femmes	women
fendoir	cleaver
fendre	split
fenouil	fennel
fenêtre	window
fer	iron
fer	shoe
fer à cheval	horseshoe
fer à repasser	iron
ferme	farm
fermer	close
fermer	shut
fermeture éclair	zip fastener
fermier	farmer
fermé	closed
ferry	ferry
fesse	buttock
festival	festival
feu	fire
feu d'artifice	firework
feu orange	amber
feuille	leaf
feuille	sheet
feuille de thé	tea leaf
feuilleter	skim
fiancé	bridegroom
fiancé	groom
fiancé	fiancé
fichier	file
fidélité	allegiance
fier	proud
fierté	pride
figue	fig
figuier	fig
figure	figure
fil	thread
fil	wire
fil de fer barbelé	barbed wire
filet	net
fille	daughter
fille	girl
film	cinema
fils de pute	motherfucker
fils de pute	son of a bitch
fils de pute	son of a whore
fin	end
fin	back
fin	finish
finalement	eventually
fini	over
finir	end
finir	finish
finlandais	Finnish
finnois	Finnish
fièvre	fever
flamand	Flemish
flamant	flamingo
flamme	flame
flatter	butter up
flet	flounder
fleur	flower
fleurir	flower
flocon	snowflake
fluide	fluid
fluor	fluorine
flux	flow
flèche	arrow
fléchir	bow
flûte	flute
foi	faith
foi	belief
foie	liver
foin	hay
fois	time
folie	insanity
fonction	function
fonctionnalité	functionality
fonctionner	function
fond	back
fond	bottom
fondamentalisme	fundamentalism
fondre	melt
fongus	fungus
fontaine	fountain
fonte	font
football	soccer
for money or for hand-given thing: reçu	receipt
force	strength
force	force
force navale	navy
forficule	earwig
forgeron	blacksmith
forme	shape
formule	formula
fort	strong
forêt	forest
fosse	pit
fossé	ditch
fou	crazy
fou	bishop
fou	mad
fou	nut
fou	fool
fouet	whip
four	oven
fourche	fork
fourchette	fork
fourmi	ant
fourmilière	anthill
fourneau	stove
fourrage	fodder
fourreau	sheath
fourreau	scabbard
foutre	fuck
foyer	home
foyer	hearth
frais	cool
frais	fresh
frais	sweet
fraise	strawberry
fraisier	strawberry
framboise	raspberry
framboisier	raspberry
francium	francium
français	French
frapper	knock
frein	brake
freiner	brake
frelon	hornet
french	english
friandise	sweet
frites	french fries
froid	cold
fromage	cheese
front	forehead
frontière	border
frotter	rub
froussard	yellow
fruit	fruit
frère	brother
frère	sibling
fréquence	frequency
fréquent	frequent
frêne	ash
fumer	smoke
fumier	dung
fumier	manure
fumée	smoke
funérailles	funeral
funéraire	funeral
furet	ferret
fusil	rifle
fusion froide	cold fusion
fusée	rocket
futur	future
fèces	faeces
fèces	feces
fédération	federation
fée	fairy
féliciter	congratulate
félin	cat
féminin	female
féminin	feminine
féminisme	feminism
féroïen	Faroese
février	February
fête	name day
fête	party
fœtus	fetus
fœtus	foetus
gabarit	template
gage	pledge
gagner	win
gai	gay
gai, gay	gay
gain	win
galant	womanizer
galaxie	galaxy
gale	scabies
galicien	Galician
gallium	gallium
gant	glove
garantir	guarantee
garce	cow
garde	watch
garde-robe	wardrobe
garder	guard
gardien de but	goalkeeper
gare	station
garer	park
gars	boy
garçon	boy
garçon	waiter
gatling	Gatling gun
gauche	left
gay	queer
gaz naturel	natural gas
gaz parfait	ideal gas
gazelle	gazelle
gaélique écossais	Scottish Gaelic
gaúcho	gaucho
geai	jay
gelée	jelly
gencive	gum
gendarme	policeman
genou	knee
genre	gender
genre	genre
genre	genus
gens	people
gentil	kind
gentilhomme	gentleman
genévrier	juniper
germanium	germanium
gibet	gallows
gingembre	ginger
girafe	giraffe
glace	ice
glace	Template:mirror/Translations
glace	ice cream
glacer	freeze
glacier	glacier
glaire	albumen
gland	acorn
glande	gland
glande pinéale	pineal gland
glasnost	glasnost
glassharmonica	glass harmonica
glaucome	glaucoma
glaçon	icicle
glisser	slide
glouton	greedy
glouton	wolverine
gneiss	gneiss
gnosticisme	Gnosticism
gnou	gnu
go	go
gobelin	goblin
golf	golf
golfe de Finlande	Gulf of Finland
gonfler	swell
gong	gong
googler	google
gorge	throat
gorille	gorilla
goudron	tar
goulot	throat
goulot	neck
goutte	drop
goutte	gout
gouvernement	government
goéland	gull
goéland	common gull
grain	grain
grain de beauté	mole
graisse	grease
grammaire	grammar
gramme	gram
grand	big
grand	large
grand duc	eagle owl
grand tétras	capercaillie
grand-mère	grandmother
grand-parent	grandparent
grand-père	grandfather
grande roue	Ferris wheel
grande route	highway
grande unification	grand unification theory
grande-mère maternelle	maternal grandmother
graphe	graph
gras	fat
gras	bold
gratte-ciel	skyscraper
gratter	scratch
gratuit	free
gratuit	gratis
gravitation	gravitation
gravité	gravity
grec	Greek
grenade	pomegranate
grenadier	pomegranate
grenier	attic
grenouille	frog
grillon	cricket
grimper	climb
grippe	influenza
grippe	flu
gris	grey
gronder	scold
gros	fat
gros	thick
gros	bulky
groseille	gooseberry
groseille	currant
grosse poule de mer	lumpsucker
grossesse	pregnancy
groupe	group
groupe sanguin	blood type
grue	crane
grève	strike
grêle	hail
grêler	hail
guerre	war
guerre	warfare
guerre civile	civil war
guerre mondiale	world war
guerrier	warrior
guetter	listen
gueule	hangover
gueules	gules
gui	mistletoe
guide	guide book
guider	drive
guillemet	quotation mark
guimbarde	Jew's harp
guitare	guitar
guitariste	guitarist
gujarati	Gujarati
guère	hardly
gué	ford
guépard	cheetah
guêpe	wasp
gâteau	cake
gâté	spoilt
gène	gene
géant	giant
génie	genie
génie	genius
génitif	genitive case
génitif	genitive
génocide	genocide
génome	genome
génération	age
génétique	genetic
géographie	geography
géologie	geology
géométrie	geometry
géométrie euclidienne	Euclidean geometry
géorgien	Georgian
gérondif	gerund
gêner	annoy
habileté	skill
habiller	dress
habiter	live
habitude	habit
habituel	usual
hache	axe
hadron	hadron
hafnium	hafnium
haine	hatred
hajj	hajj
halva	halva
hamac	hammock
hamburger	hamburger
hameçon	fishhook
hamster	hamster
hanche	hip
handball	handball
harcèlement sexuel	sexual harassment
harem	harem
hareng	herring
haricot	bean
harpe	harp
harpon	harpoon
hassium	hassium
haut	high
haut fait	deed
hautbois	oboe
hauteur	height
haïr	hate
hebdomadaire	weekly
hebdomadairement	weekly
herbe	grass
herbivore	herbivore
hermine	ermine
herse	harrow
heure	hour
heure	time
heureusement	luckily
heureux	happy
heuristique	heuristic
hexagone	hexagon
hibou	owl
hibou moyen duc	long-eared owl
hier	yesterday
hier soir	last night
hindî	Hindi
hippocampe	sea horse
hippopotame	hippopotamus
hirondelle	swallow
histoire	history
histoire	story
historique	history
hiver	winter
hobbit	hobbit
hockey	hockey
hockey sur glace	ice hockey
holmium	holmium
homard	lobster
homme	man
homme	Man
homme d'affaires	businessman
homogène	homogeneous
homosexualité	homosexuality
homosexuel	homosexual
homéopathie	homeopathy
homéostasie	homeostasis
hongrois	Hungarian
honneur	honor
honneur	honour
honnête	honest
honnêteté	honesty
honoraires	fee
honte	shame
hoquet	hiccup
horizon	horizon
horloge	clock
hors	out
hostilité	hostility
houe	hoe
hourra	hooray
house music	house music
houx	holly
huile	oil
huit	eight
huitième	eighth
humain	human
humeur	mood
humide	moist
humidité	moisture
humilité	humility
humour	humour
humour	humor
hussard	hussar
huître	oyster
hydravion	seaplane
hydrogène	hydrogen
hydromel	mead
hymen	hymen
hymne	hymn
hyperbole	hyperbola
