# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
Fischbestände	fishery resource
Fischen	fishing
Fischerei	fishery
Fischereifahrzeug	fishing vessel
Fischereilizenz	fishing licence
Fischereipolitik	fishery policy
Fischereirecht	fishing law
Fischereischutzgebiet	fishing preserve
Fischereistruktur	fisheries structure
Fischereiwirtschaft	fisheries management
Fischereiökonomie	fishery economics
Fischindustrie	fishing industry
Fischkrankheit	fish disease
Fischsterben	fish kill
Fischtoxizität	fish toxicity
Fischzucht	fish farming
Flandern	Flanders ; Flemish region
Flaschenverschluß	bottle cap
Flattertiere	chiropteran
Flechten	lichen
Flechtenkartierung	mapping of lichens
Fleisch	meat
Fleischer ; Metzger	butcher
Fleischfresser ; Tierfresser ; Raubtier	carnivore
Flevoland	Flevoland
Fließgewässer	flowing water
Flockungsmittel	flocculant
Floh	flea
Flora	flora (biology) ; flora
Florenverfälschung	bastardisation of flora
Florenwiederherstellung	flora restoration
Floriansprinzip	NIMBY aptitude ; NIMBY attitude
Flossenfüsser ; Robben ; Flossenfüßer	pinniped
Flotation	flotation
Flugasche	fly ash
Flughafen	airport
Fluglärm	aircraft noise
Flugzeug	aeroplane ; bird ; plane
Fluor	fluorine
Fluorchlorkohlenwasserstoff	CFC ; chlorofluorocarbon
Fluoridierung	fluoridation
Flurbereinigung	land consolidation
Flurschaden	field damage
Fluvialressourcen	fluvial resource
Fluß ; Fluss	river
Fluß ; Fluss	flow
Flußbett ; Flussbett	river bed
Flußmarsch	alluvial plain
Flußwasser ; Flusswasser	river water
Fläche	distribution area
Flächennutzung	land occupation
Flächennutzung	land use
Flächennutzungsklassifikation	land use classification
Flächennutzungsplan	land use plan
Flächennutzungsplanung	land use planning
Flächennutzungsverwaltung	land use regime
Flächenquelle	plane source
Flächenstruktur	land setup
Flächenwidmung ; Parzellierung	land allotment
Flämisch	Flemish
Flöte	flute
Flüchtigkeit	volatility
Flüchtling	refugee
Flüssiggas	liquefied gas
Flüssigkeit	liquid
Flüssigmist	liquid manure
Folklore	folklore
Fontäne ; Springbrunnen	fountain
Forelle	trout
Forschung	research
Forschungspolitik	research policy
Forschungsprojekt	research project
Forschungszentrum	research centre
Forst ; Wald	forest
Forstbetriebsgemeinschaft	forestry unit
Forstgesetz	forestry law
Forstindustrie	forest industry
Forstnutzung	forest exploitation
Forstpolitik	forest policy
Forstrecht	forestry legislation
Forstschädling	forest pest
Forstwirtschaft	forestry
Forstwirtschaft	forest management
Forstökonomie	forestry economics
Fortpflanzung	reproduction
Fortpflanzungsmanipulation	reproductive manipulation
Fossil	fossil
Fouling	fouling growth
Frage	question
Fraktur	fracture
Frankium ; Frankium ; Francium	francium
Frankreich	France
Franzose	Frenchman
Französisch	French ; French
Französisch-Guayana	French Guiana
Französisch-Polynesien	French Polynesia
Französische Revolution	French Revolution
Französische Süd- und Antarktisgebiete	French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands
Französischer Garten	French formal garden
Freiheit	freedom ; liberty
Freiheit	freedom
Freilandversuch	field experiment
Freisetzung (Organismen)	release of organisms
Freisetzung von mutierten Mikroorganismen	mutated micro-organisms release
Freitag	Friday
Freizeit	leisure time
Freizeitbereich ; Freizeitbeschäftigung	leisure activity
Freizeitpark	amusement park
Fremdenverkehr ; Tourismus	tourism
Freon	freon
Frieden ; Friede	peace
Friesisch	Frisian ; Western Frisian
Friseur ; Friseur ; Friseur ; Friseuse ; Barbier	hairdresser ; barber
Frohe Weihnachten und ein schönes neues Jahr	Merry Christmas and a happy New Year
Frosch	frog
Frost	frost
Frucht	fruit
Fruchtfolge	crop rotation
Fröhliche Weihnachten ; Frohe Weihnachten	Merry Christmas
Frühjahr ; Frühling ; Lenz	spring
Frühstück	breakfast
Frühwarnsystem	early warning system
Fujisan ; Fuji	Mount Fuji
Fungizid	fungicide
Furan	furan
Furt	ford
Fussball ; Fußball	football
Futtermittel	fodder ; provender ; forage
Futtermittelgesetz	forage law
Futtermittelkontamination	forage contamination
Futterpflanze	fodder plant
Futterpflanze	forage crop
Fuß	foot
Fußgängerzone	pedestrian zone ; pedestrian area ; car-free zone ; auto-free zone ; pedestrianised zone
Fußweg	footpath
Fähre	ferry
Fäkalbakterien	faecal bacterium
Fällung	precipitation ; precipitation (chemical)
Färöer ; Färöer-Inseln	Faroe Islands
Färöisch ; Färingisch	Faroese ; Faeroese
Füllmaterial	filling material
GIS Digitalformat	GIS digital format
GIS Digitalsystem	GIS digital system
GIS Digitalverfahren	GIS digital technique
GIS-Labor	GIS laboratory
Gabel	fork
Gaborone	Gaborone
Gabun	Gabon ; Gabonese Republic
Gadolinium	gadolinium
Galizisch	Galician ; Galician
Galle	bile
Gallenblase	gallbladder
Gallium	gallium
Galvanotechnik	galvanisation
Gambia ; Gambia ; Gambia ; Gambia ; Gambia ; Gambia	Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia
Gammastrahlung ; γ-Strahlung	gamma radiation
Ganglinie	progress line
Gangrän	gangrene
Gans	goose
Garage	garage
Garten	garden
Gartenabfall	garden waste
Gartenbau	horticulture
Gas	gas
Gaschromatographie	gas chromatography
Gasgemisch	gas mixture
Gaskraftwerk	gas powered plant
Gasmotor	gas engine
Gasnetz	gas network
Gasohol	gasohol
Gasreinigung	gas purification
Gasrohrleitung	gas pipeline
Gasspeicher	gas reservoir
Gastronomiebetriebe	hotel industry
Gasverflüssigung	gas liquefaction
Gasversorgung	gas supply
Gaswerk	gaswork
Gaswirtschaft	gas company
Gazastreifen	Gaza Strip
Gebiet	province
Gebiet mit Vorkaufsrecht	pre-emption zone
Gebirge ; Gebirge ; Gebirgszug ; Bergkette	mountain range
Gebirgsort	mountain resort
Geburtenregelung ; Geburtenkontrolle	birth control
Geburtstag ; Jahrestag ; Wiegenfest	birthday
Gebärdensprache	sign language
Gebäude	building
Gebäudeausrüstung	building service
Gebäuderestaurierung	building restoration
Gebäudezerstörung	building destruction
Gebühr	fee
Gefahr ; Gefahren	hazard
Gefahr durch Schadstoffe	hazard of pollutants
Gefahrenanalyse	danger analysis
Gefahrenvorsorge	anticipation of danger
Gefahrenzone	hazard area
Gefahrgut	dangerous goods
Gefahrgutgesetz	dangerous goods law
Gefahrguttransport	dangerous materials transport
Gefahrgutverordnung	dangerous goods regulation
Gefahrstoff	hazardous substance
Gefahrstoffrecht	hazardous substances legislation
Geflügel	poultry
Geflügelfarm	poultry farming
Gehalt	salary
Gehör	hearing
Gehörorgan	hearing system
Gehörschutz	hearing protection
Gehörschädigung	hearing impairment
Geisel	hostage
Geldmarkt	money market
Geldmittel	financial fund
Geldstück ; Hartgeld ; Kleingeld ; Klimpergeld ; Kohle ; Moneten ; Münze ; Münzgeld ; Zahlungsmittel ; Geldmünze	coin ; money
Geldwirtschaft	monetary economics
Gelenk	joint ; articulation
Geländefahrzeug	all-terrain vehicle
Gemeinde	municipality
Gemeinderecht	municipal law
Gemeinlastprinzip	community-pays principle
Gemeinnützigkeitserklärung	declaration of public utility
Gemeinsame Agrarpolitik ; Gemeinsame Agrarpolitik der EU	common agricultural policy ; common agricultural policy of the EU
Gemeinsame Handelspolitik	common commercial policy
Gemeinsame Zolltarifpolitik	common tariff policy
Gemeinschaftseinrichtung	community facility ; public facility
Gemeinschaftsrecht	Community law
Gemeinschaftsregelung	Community ruling
Gemengelage	mixed use area
Gemüse	vegetable
Gen	gene
Genealogie	genealogy
Genehmigungsverfahren	licencing procedure
General	general
Genetik	genetics
Genmutation	genetic modification
Genom ; Erbgut	genome
Genotyp	genotype
Genozid ; Völkermord	genocide
Genpool	genetic pool ; gene pool
Gentechnik	genetic engineering
Gentechnikrecht	genetic engineering legislation
Gentoxizität	genotoxicity
Geodäsie	geodesy
Geographisches Informationssystem	geographic information system
Geologie	geology
Geometrie	geometry
Geomorphologie	geomorphology
Geophysik	geophysics
Georgia	Georgia
Georgien	Georgia
Georgisch	Georgian ; Georgian
Geotechnik	geotechnics
Geotechnologie	geotechnology
Geowissenschaften	earth science
Gepard	cheetah ; chetah
Geranie	geranium
Gerbstoff	tannin
Gericht	court
Gerichtshof	court of justice
Gerichtshof der Europäischen Gemeinschaften	Court of Justice of the European Communities
Gerichtsregelung	judiciary rule
Gerichtsurteil	judgement (sentence) ; sentence ; judgement
Gerichtsverfahren	legal procedure
Germanium	germanium
Gerste	barley
Geruch	odour
Geruchsbelastung	olfactory pollution
Geruchsstoff	aromatic substance
Geräuschanalyse	noise analysis
Geräuschemission	noise emission
Geräuschpegel ; Lautstärke	acoustic level ; sound pressure level
Geräuschspektrum	noise spectrum
Gesamtschuldner	joint debtor
Geschichte	history
Geschichte ; Erzählung	story
Geschichtsforschung	historical research
Geschlecht	sex ; gender
Geschwindigkeit	speed
Geschäftsgebaren	business activity
Gesellschaft	society
Gesellschaftsgruppe	social group
Gesetz	law
Gesetzbuch	code
Gesetzentwurf	draft legislation
Gesetzentwurf	law draft
Gesetzesinformation	legislative information
Gesetzesinitiative	legislative procedure
Gesetzesnovellierung	law amendment
Gesetzesvollzug	law enforcement
Gesetzgeber	legislative authority
Gesetzgebung	legislation
Gesetzgebungskompetenz	legislative competence
Gestaltung ; Entwurf ; Projektentwurf	design (project) ; design ; project design
Gestein ; Stein	stone
Gesundheit	health
Gesundheit-Umweltbeziehung	health-environment relationship
Gesundheitsdienst	health service
Gesundheitseinrichtung	health facility
Gesundheitsfürsorge	health care
Gesundheitsgefährdung	health hazard
Gesundheitsrecht	health legislation
Gesundheitsrecht	health regulation
Gesundheitsvorsorge	preventive health measure
Gesundheitszustand	physical conditions
Getreide	grain
Getränk	beverage ; drink
Getränkeindustrie	beverage industry
Gewebe	fabric
Gewebe ; zelluläres Gewebe	tissue
Gewerbe ; Handel	trade
Gewerkschaft	trades union
Gewicht	weight
Gewinn ; Profit	profit
Gewitter	thunderstorm
Gewässer	water ; body of water
Gewässerboden	benthic division
Gewässereinzugsgebiet ; Einzugsgebiet	catchment area
Gewässerschutzrecht	water protection legislation
Geysir	geyser
Gezeitenhochwasser ; Flut	high tide water
Gezeitenkraftwerk	tidal power station
Ghana	Ghana ; Republic of Ghana
Gibraltar	Gibraltar
Gift	poison
Gift ; Toxin	toxin
Gips ; Calciumsulfat ; Kalziumsulfat	gypsum
Giraffe	giraffe
Gitarre	guitar
Gitternetz	gridding
Glas	glass
Glasfaser ; Glaswolle	fibreglass
Glasindustrie	glass industry
Glatteis	glaze
Glaukom	glaucoma
Gleichung	equation
Gletscher	glacier
Gletscherforschung	glaciology
Gliedertier	Articulata
Globale Umweltfazilität	Global Environment Facility ; GEF
Globalmodell	global model
Glockenpolitik	bubble policy (emissions trading) ; bubble policy
Glossar	glossary
Glykolyse	glycolysis
Gold	gold
Golf	golf
Golf	gulf
Gong	gong
Gonorrhoe	gonorrhea
Gorilla	gorilla
Gouverneur	governor
Graben	ditch
Grammatik ; Sprachlehre	grammer ; grammar
Granatapfel	pomegranate
Granit	granite
Gras	grass
Grasbrand	grass fire
Graspflanzen	graminaceous plant
Grausamkeit	atrocity
Graviton	graviton
Greifvogel ; Raubvogel	bird of prey
Grenada	Grenada
Grenze	boundary
Grenze	border
Grenzertragsboden	marginal land
Grenzschicht	boundary layer
Grenzwert	limit value
Grenzüberschreitung	boundary crossing
Griechenland	Greece ; Hellenic Republic
Griechisch	Greek ; Greek
Grippe ; Influenza	influenza ; flu
Grossfeuerungsanlage ; Großfeuerungsanlage	large combustion plant
Großbritannien	Great Britain ; Britain
Großer Hund	Canis Major
Großstadt ; Stadt	city
Großvater	grandfather
Großwild	big game
Grubenzuschüttung	mine filling
Grundnahrungsmittelbedarf	basic food requirement
Grundstückssteuer ; Grundsteuer	land tax
Grundtechnologien	low-level technology
Grundwasser	groundwater
Grundwasserentnahme	groundwater extraction
Grundwassergefährdung	groundwater endangering
Grundwasserqualität	groundwater quality
Grundwasserschutz	groundwater protection
Grundwasserträger	aquifer
Grundwasserverunreinigung	groundwater pollution
Grundüberwachung	baseline monitoring
Gruppenverhalten	group behaviour
Grönland	Greenland
Gründünger	green manure
Grüne Revolution	green revolution
Grünfläche	green space
Grünland	grassland
Grünschlick	green tide
Grünstreifen	green corridor
Grüß Gott! ; Guten Tag! ; Guten Tag! ; hallo ; moin moin. ; Tag! ; moin moin	hello ; hey ; hi ; howdy
Guadeloupe	Guadeloupe
Guam	Guam ; Guam ; Guam
Guatemala	Guatemala ; Republic of Guatemala
Guetn Tag ; tschüss ; tschüß ; tschüs ; auf Wiedersehen ; adieu	adieu ; bye ; cheerio ; farewell ; good day ; goodbye
Guillotine ; Guillotine ; Guillotine ; Fallbeil	guillotine ; guillotine ; guillotine
Guinea	Guinea ; Republic of Guinea
Guinea-Bissau	Guinea-Bissau ; Republic of Guinea-Bissau
Gujarati	Gujarati ; Gujarati
Gummi	rubber
Gummi ; Kondom ; Präservativ ; Pariser	condom ; prophylactic ; rubber ; safe ; safety
Gurke	cucumber
Gutachten	advice
Guyana	Guyana ; Republic of Guyana
Gärtner	gardener
Güter	goods
Güter und Dienstleistungen	goods and services
Gütertransport	freight transport
H-FCKW	partially halogenated chlorofluorohydrocarbon
Haar	hair
Habitat	habitat
Hafen	harbour
Hafnium	hafnium
Haftpflicht	liability
Haftungsrecht	liability legislation
Hagel	hail
Hai	shark
Haiku	haiku
Haiti	Haiti ; Republic of Haiti
Halbinsel	peninsula
Halbleiter	semiconductor
Halbmetall	semi-metal
Halbwertszeit	half-life
Hallenbad ; Hallenbad ; Schwimmbad ; Schwimmbecken ; Schwimmbassin	swimming pool
Halluzination	hallucination
Haloform	haloform
Halogenbiphenyle	halogenated biphenyl
Halogenkohlenwasserstoff	halogenated hydrocarbon
Halogenphenole	halogenated phenol
Halogenverbindung	halogenated compound
Haltestelle	station
Haltestelle	railway station
Haltung	attitude
Handel	trade
Handel und Verbrauch	trade and consumption
Handelsfischerei	commercial fishery
Handelsfreiheit ; Freihandel	free trade
Handelsgeschäft	commercial transaction
Handelsgärtnerei	market gardening
Handelslärm	commercial noise
Handelsrecht	commercial law
Handelsschiffahrt	merchant shipping
Handelsverkehr	commercial traffic
Handfläche	palm
Handwerk	craft ; arts and crafts
Handwerksbetrieb ; Handwerksunternehmen	handicraft business
Hang	slope
Hannover	Hanover
Harem	harem
Harpune	harpoon
Harz	resin
Hass	hate ; hatred
Hassium	hassium
Haupt ; Kopf	head
Hauptnahrungsmittel	staple food
Hauptrisiko	major risk
Hauptstadt ; Kapitale	capital
Hauptwort ; Substanti ; Substantiv ; Nomen	noun ; substantive
Haus	home ; home ; house
Hausgarten	home garden
Haushalt	household
Haushaltsabfall	domestic waste
Haushaltsabwasser	domestic waste water
Haushaltsausgaben	household expenditure
Haushaltsbrennstoff	domestic fuel
Haushaltschemikalien	household chemical
Haushaltsgerät	domestic appliance
Haushaltsplan der Gemeinschaft	Community budget
Haushaltspolitik	budget policy
Haushaltsware	household goods
Hauslärm	domestic noise
Hausmülldeponie	domestic waste landfill
Hausschmutz	domestic pollution
Hausschuh ; Pantoffel	slipper
Haustier	pet
Haut	skin
Hautflügler	hymenopteran
Hebräisch	Hebrew
Hecke	hedge
Hedonik ; Hedonismus	hedonism
Hefe	yeast
Hegemonie ; Vorherrschaft ; Vormachtstellung	hegemony
Heide	heathland
Heide ; Ungläubiger	heathen ; infidel ; pagan
Heidelbeere	huckleberry ; blueberry
Heilpflanze ; Medizinpflanze	medicinal plant
Heizgerät	heater
Heizkraftwerk	heat and power station
Heizung	heating
Heizwerk	heating plant
Heizöl	fuel oil
Heizöl (leicht) ; leichtes Heizöl	domestic fuel oil
Helikopter ; Hubschrauber	helicopter
Helium	helium
Helligkeit ; Helligkeitsverteilung	luminosity
Henker ; Scharfrichter	executioner
Herbivore ; Pflanzenfresser	herbivore ; plant eater
Herbizid	herbicide
Herbst	autumn
Herkules	Hercules
Heroin	heroin
Herr ; Kerl ; Mann ; Mannsbild ; Mannsperson	male ; man
Herz	heart
Herzkreislaufsystem	cardiovascular system
Heterozyklen	heterocyclic compound
Heuschrecke	grasshopper
Hexe	witch
Hierarchie ; Rangordnung	hierarchy
Himmel ; Luft	heaven ; sky
Hindernis	obstacle ; obstruction
Hindi	Hindi ; Hindi
Hintergrundgeräusch	background noise
Hintergrundstrahlung	background radiation
Hintergrundwert	background level
Hirsch	deer
Hirse	millet
Hirt ; Schafhirt ; Schäfer ; Schäfer ; Schäferin	shepherd
Historiographie ; Historiografie	historiography
Hochgebirge	high mountain
Hochgeschwindigkeitsbahn ; Hochgeschwindigkeitsbahn ; Hochgeschwindigkeitsbahngleis	high-speed railway
Hochgeschwindigkeitszug	high-speed train
Hochhaus	high-rise building
Hochofen	blast furnace
Hochschulausbildung	higher education
Hochsee	open sea
Hochseefischerei	deep sea fishing
Hochseefischerei	open sea fishing
Hochspannungsleitung	high voltage line
Hochwasser ; Überschwemmung	flood
Hochwasserabfluß	flood runoff
Hochwasserbekämpfung	flood control
Hochwasserprognose	flood forecast
Hochwasserschutz	flood protection
Hoffnung	hope
Hohltier	coelenterate
Holmium	holmium
Holunder	elder ; elderberry
Holz	wood
Holzfällung	cutting
Holzkohle	charcoal
Holzprodukt	wood product
Homepage	homepage
Homonym	homonym
Honduras	Honduras ; Republic of Honduras
Honig ; Bienenhonig	honey
Horizont ; Gesichtskreis	horizon
Hormon	hormone
Hose	trousers
Hospital ; Klinik ; Krankenhaus ; Spital	hospital ; clinic
Huftiere	ungulate
Huhn	chicken
Humanphysiologie	human physiology
Humanwissenschaften	human science
Humanökologie	human ecology
Hummel	bumblebee
Humus	humus
Hund	dog
Hunger ; Hunger ; Hunger	hunger ; hunger ; hunger
Hungersnot	famine
Hurrikan	hurricane
Hybridisierung	hybridisation
Hydraulik	hydraulics
Hydrobiologie	hydrobiology
Hydrogeologie	hydrogeology
Hydrographie	hydrography
Hydrokultur	hydroculture
Hydrologie	hydrology
Hydrolyse	hydrolysis
Hydrometeorologie	hydrometeorology
Hydrometrie	hydrometry
Hydrosphäre	hydrosphere
Hygiene	hygiene
Hypertext	hypertext
Hypophyse	pituitary gland
Hyäne	hyena
Hämatologie	haematology
Härte	hardness
Höchstmengenverordnung	regulation on maximum permissible limits
Höhe	altitude
Höhenlinienanbau	contour farming
Höhle	cave
Hörschärfe	hearing acuity
Hügel	colina ; hill ; loma
Hühnervögel	gallinacean
Hüttenindustrie	metallurgical industry
IMCO-Code	IMCO code
ISO-Norm	ISO standard
Ideologie	ideology
Ido	Ido ; Ido
Igel	hedgehog
Ilias	Iliad
Imker ; Bienenzüchter ; Zeidler ; Bienenvater	beekeeper ; apiculturist
Immission	immission
Immissionsbelastung	immission load
Immissionsgrenzwert	immission limit
Immissionsprognose	immission forecast
Immissionsschaden	immission damage
Immissionsschutz	immission control
Immissionsschutzgesetz	immission control law
Immissionsüberwachung	air quality monitoring
Immobilienvermietung	estate rental
Immunität	immunity
Immunkrankheit ; immunologische Krankheit	immunological disease
Immunoassay	immunoassay
Immunologie	immunology
Immunsystem	immune system
Impaktor	impactor
Impfung ; Vakzination	vaccination
Imprägnierung	impregnation
Imprägnierungsmittel	impregnating agent
Impulsschall	impulsive noise
Index	index
Indien	India ; Republic of India
Indik ; Indischer Ozean	Indian Ocean
Indikator ; Anzeiger	indicator
Indirekteinleiter	indirect discharger
Indium	indium
Individualverkehr	private transport
Individuum	individual
Indonesien	Indonesia ; Republic of Indonesia
Indonesisch	Indonesian
Indre	Indre
Industrialisierung	industrialisation
Industrie	industry
Industrie-Umweltpolitik	industrial environmental policy
Industrieabfall	industrial waste
Industrieabgas	industrial waste gas
Industrieabwasser	industrial effluent
Industrieabwasser	industrial waste water
Industrieanlage	industrial installation
Industrieanlage	industrial plant (building) ; industrial plant
Industrieansiedlung	industrial zoning
Industrieausrüstung	industrial equipment
Industriebrachland	industrial wasteland
Industrieemission	industrial emission
Industriegebiet	industrial area
Industriegesellschaft	industrial society
Industriehalde	industrial dumping
Industrieland	developed country
Industrielärm	industrial noise
Industrieofen ; Ofen ; Ziegelbrennerei	furnace
Industriepflanze	industrial crop
Industriepflanze	industrial plant (organism) ; industrial plant
Industrieplanung	industrial planning
Industriepolitik	industrial policy
Industrieprodukt	industrial product
Industrieproduktion	industrial production
Industrieproduktionsstatistik	industrial production statistics
Industrierecht	industrial legislation
Industrieschlamm	industrial sludge
Industriestandort	industrial site
Industriestandort	location of industries
Industriestruktur	industrial structure
Industrietätigkeit	industrial activity
Industrieumwelt	industrial environment
Industrieverband	industrial association
Industrieökonomie	industrial economics
Inertabfall	inert waste
Inertisierung	inertisation
Infektion	infection
Infektionskrankheit	infectious disease ; communicable diseases
Infektionskrankheit	infectious disease
Infiltration	infiltration
Inflation	inflation
Influenzavirus typ A/H5N1 ; H5N1	H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)
Informales Verwaltungshandeln	informal negotiation
Informatik	informatics ; computer science ; information science
Information	info ; information
Information der Öffentlichkeit	public information
Informationsausstattung	information kit
Informationsaustausch	information exchange
Informationsdienst	information service
Informationsfreiheit	access to information
Informationsinfrastruktur	information infrastructure
Informationsnetz ; Datennetz	information network
Informationspflicht	obligation to inform
Informationsquelle	information source
Informationssystem	information system
Informationstechnologie ; IT	information technology ; IT
Informationstransfer	information transfer
Informationsverarbeitung	information processing
Informationsvermittlungsdienst	reference service
Informationsvermittlungsstelle	information clearing-house
Informationszentrum	information centre
Infrarotstrahlen ; Infrarotstrahlung	infrared radiation
Infraschall	infrasound
Infrastruktur	infrastructure
Ingenieur	engineer
Ingenieurbau	engineering work
Ingenieurwesen ; Ingenieurwissenschaft ; Ingenieurskunst	engineering
Inkorporation	incorporation
Inkraftsetzen	enforcement
Innenraum	indoor environment
Innenstadt ; Stadtzentrum ; City	city centre
Innovation ; Erfindung	innovation
Insekt	insect
Insektenfresser	insectivore
Insektizid	insecticide
Insel Man	Isle of Man ; Isle of Mann ; Mann
Inselökosystem	island ecosystem
Inspektion	inspection
Instandhaltung	maintenance (technical) ; maintenance
Instandsetzungsgewerbe	repair business
Institutionalisierung	institutionalisation
Institutionelle Aktivität	institutional activity
Institutionelle Struktur	institutional structure
Instrument ; Musikinstrument	instrument ; musical instrument
Instrumentenherstellung	instrument manufacture
Instrumentierung	instrumentation
Integrales Naturreservat	integral natural reserve
Integrierte Schädlingsbekämpfung	integrated pest control
Integrierte Umweltschutztechnik	integrated environmental protection technology
Integrierter Umweltschutz	integrated pollution control
Integriertes Management	integrated management
Intensivlandwirtschaft	intensive farming
Intensivtierhaltung	intensive animal husbandry
Interdisziplinäre Forschung	interdisciplinary research
Interessenausgleich	balancing of interests
Interessengruppe	pressure group
Interessenkonflikt	conflict of interests
Interessenverband	interest group
Interlingua	Interlingua ; Interlingua, "Simplified" Latin ; Interlingua, "Simplified" Latin
Intermittierendes Geräusch	intermittent noise
International wichtiges Ökosstem ; international wichtiges Ökosystem	internationally important ecosystem
Internationale Arbeitsteilung	international division of labour
Internationale Beziehungen	international relations
Internationale Harmonisierung	international harmonisation
Internationale Hilfe	international assistance
Internationale Normierung	international standardisation
Internationale Organisation	international organisation
Internationale Politik	international politics
Internationale Sicherheit	international safety
Internationale Umwelbeziehungen	international environmental relations
Internationale Vereinbarung	international agreement
Internationale Verteilung	international distribution
Internationale Wasserstraße	international watercourse
Internationale Wettbewerbsfähigkeit	international competitiveness
Internationale Zusammenarbeit	international co-operation
Internationale Übereinkommen	international convention
Internationaler Gerichtshof	International Court of Justice
Internationaler Handel	international trade
Internationaler Vergleich	international transaction
Internationaler Währungsfonds ; IWF	IMF ; International Monetary Fund
Internationales Gleichgewicht	international balance
Internationales Recht	international law
Internationales Zivilrecht	private international law
Internet	Internet
Internet-Provider ; Provider	internet service provider ; ISP ; Internet access provider ; Internet service provider
Internet-Suchdienst	internet search service
Interpolation	interpolation
Interventionsfonds	intervention fund
Intoxikation	intoxication
Inventar	inventory
Inversion ; Umkehrung	inversion
Inversionsschicht	inversion layer
Invertebraten	invertebrate
Investition	investment
Ion	ion
Ionenaustausch	ion exchange
Ionenaustauscher	ion exchanger
Ionosphäre	ionosphere
Irak	Iraq ; Republic of Iraq
Iran ; Islamische Republik Iran	Iran ; Islamic Republic of Iran
Iridium	iridium
Irisch ; Irisch-Gälisch	Irish ; Irish ; Irish Gaelic ; Irish
Irland	Ireland ; Republic of Ireland
Irreversibilität eines Phänomens	irreversibility of the phenomenon
Islam	Islam
Island	Iceland ; Republic of Iceland
Isländisch	Icelandic
Isolierung	insulation
Isomer	isomer
Isotop	isotope
Israel	Israel ; State of Israel
Italien	Italian Republic ; Italy
Italienisch	Italian ; Italian
Jacht ; Yacht	yacht
Jade	jade
Jagd	hunting
Jagdhunde	Canes Venatici
Jagdreservat	hunting reserve
Jagdschein	hunting licence
Jaguar	jaguar
Jahr ; Erdenjahr ; Erdjahr	year ; solar year
Jahrestag	anniversary
Jahreszeit	season
Jakarta	Jakarta ; Djakarta ; DKI Jakarta
Jamaika	Jamaica
Japan	Japan ; State of Japan
Japanisch	Japanese ; Japanese
Javanisch	Javanese
Jazz	jazz
Jemen	Yemen ; Republic of Yemen
Jersey ; Vogtei Jersey	Jersey ; Bailiwick of Jersey
Jiddisch	Yiddish
Jod ; Iod	iodine
Jordanien	Jordan ; Hashemite Kingdom of Jordan
Journalismus	journalism
Journalist ; Reporter	journalist
Judentum ; Judaismus	Judaism
Judo	judo
Jugoslawien	Yugoslavia
Juli	July
Junges	young
Juni	June
Jupiter	Jupiter
Jura ; Rechtswissenschaft	jurisprudence
Jura ; Rechtswissenschaft	law ; law (science)
Jänner ; Januar	January
Kabel	cable
Kabinett ; Regierungskabinett	government (cabinet)
Kaffee	coffee
Kaimaninseln	Cayman Islands
Kairo	Cairo
Kaktus	cactus
Kalaallisut ; Grönländisch	Kalaallisut
Kalender	calendar
Kaliber	caliber
Kalibrierung	calibration
Kalidünger	potassium fertiliser
Kalifornien	California
Kalium	potassium
Kalk	lime
Kalkstein	limestone
Kalligraphie	calligraphy
Kambodscha	Cambodia ; Kingdom of Cambodia
Kamel	camel
Kamerun	Cameroon ; Republic of Cameroon
Kampfmittelentsorgung	disposal of warfare materials
Kanada	Canada
Kanal	canal
Kanalisierung	channelling
Kanalschleuse ; Schleuse	canal lock
Kaninchen	rabbit
Kannada	Kannada ; Kannada
Kanzerogenität	carcinogenicity
Kanzerogenitätsprüfung	carcinogenicity test
Kap Verde	Cape Verde ; Republic of Cape Verde
Kapitaldienst	debt service
Kapitel	chapter
Kapselung	encapsulation
Karate	karate
Kardinal	cardinal
Kardiologie	cardiology
Karelisch	Karelian
Karibik	Caribbean Area ; Caribbean
Karibisches Meer	Caribbean Sea
Karriere ; Laufbahn	career
Karstgebiet	karst
Karte	map chart
Karte ; Landkarte	map
Kartierung	mapping
Kartoffel ; Erdapfel ; Speisekartoffel ; Tartuffel ; Krumenbeere ; Grundbirne	potato ; patato
Kartographie	cartography
Kasachisch	Kazakh ; Kazakh
Kasachstan	Kazakhstan ; Republic of Kazakhstan
Kaspisches Meer	Caspian Sea
Kastanie	chestnut
Katalanisch	Catalan ; Catalan
Katalysator	catalyst
Katalyse	catalysis
Katapult	catapult
Katar	Qatar
Kataster	land register
Katastrophe	catastrophe
Katastrophe	disaster
Katastrophenaufräumung	disaster cleanup operation
Katastrophenbereitschaft	disaster preparedness
Katastrophengebiet	disaster zone
Katastrophenhilfe	disaster relief
Katastrophenplan	disaster contingency plan
Katastrophenschutz	disaster control service
Katastrophenvorbeugung	disaster prevention
Kategorie	category
