# German-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:35:12+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Rhombus'''	rhombus
Gefäß	vessel
Gefühl	feeling
Gefühl	sense
Gefühl	emotion
Gefühle	feeling
Gegend	region
Gegenwart	present
Gegner	adversary
Gehalt	salary
Geheimdienst	intelligence
Geheimnis	secret
Geheimnis	mystery
Gehirn	brain
Gehorsam	obedience
Geier	vulture
Geige	violin
Geist	spirit
Gelb	yellow
Gelb	amber
Gelbes Meer	Yellow Sea
Gelbsucht	jaundice
Gelbwurz	turmeric
Geld	money
Geldbörse	wallet
Geldbörse	purse
Gelee	jelly
Gelegenheit	opportunity
Gelegenheit	chance
Gelegenheit	occasion
Gelenk	joint
Geliebte	lover
Gelächter	laughter
Gemeinde	town
Gemeingermanisch	Proto-Germanic
Gemeinschaft unabhängiger Staaten	Commonwealth of Independent States
Gemüse	vegetable
Gemüt	mood
Gen	gene
Genauigkeit	accuracy
Generation	age
Genf	Geneva
Genie	genius
Genitiv	genitive case
Genitiv	genitive
Genitiv	possessive case
Genitiv	possessive
Genom	genome
Genosse	comrade
Genre	genre
Genua	Genoa
Geographie	geography
Geologie	geology
Geometrie	geometry
Georg	George
Georgetown	Georgetown
Georgien	Georgia
Georgier	Georgian
Gepard	cheetah
Germanium	germanium
Gerste	barley
Geruch	odour
Geruch	smell
Geruch	scent
Gerundium	gerund
Gerüstbau	scaffolding
Gesamtbetrag	total
Geschenk	gift
Geschenk	present
Geschichte	history
Geschichtswissenschaft	history
Geschicklichkeit	skill
Geschirrspüler	dishwasher
Geschlecht	sex
Geschlecht	gender
Geschlechtsverkehr	sexual intercourse
Geschwindigkeit	speed
Geschwister	sibling
Geschwür	ulcer
Geschäftsfrau	businesswoman
Geschäftsmann	businessman
Geschöpf	creature
Gesellschaft	society
Gesellschaft	company
Gesetz	law
Gesetz	act
Gesicht	face
Gespenst	ghost
Gespräch	talk
Gestalt	figure
Gestank	stink
Gesundheit	health
Gesundheit	bless you
Getränk	drink
Getränk	beverage
Gewalt	violence
Gewalt	force
Gewand	garment
Gewebe	tissue
Gewehr	rifle
Geweih	antler
Gewicht	weight
Gewinn	profit
Gewissen	conscience
Gewohnheit	habit
Gewächs	vegetable
Gewächshaus	greenhouse
Gewürznelke	clove
Gezeiten	tide
Ghana	Ghana
Gibraltar	Gibraltar
Gier	greed
Gießkanne	can
Gießkanne	watering can
Gift	poison
Gift	venom
Gipfel	peak
Giraffe	giraffe
Gitarre	guitar
Gitarrenspieler	guitarist
Gitter	lattice
Glas	glass
Glas	jar
Glasgow	Glasgow
Glasharmonika	glass harmonica
Glasnost	glasnost
Glaube	faith
Glaube	belief
Glaukom	glaucoma
Gleichgewicht	equilibrium
Gleichung	equation
Gleitschirmfliegen	paragliding
Gletscher	glacier
Glied	member
Globalisierung	globalisation
Glocke	bell
Glockenspiel	glockenspiel
Glück	luck
Glücksrad	Wheel of Fortune
Glühbirne	light bulb
Glühwürmchen	firefly
Gneis	gneiss
Gnostizismus	Gnosticism
Gnu	gnu
Go	go
Gold	gold
Goldfisch	goldfish
Goldschmied	goldsmith
Golf	golf
Golf	bay
Gorilla	gorilla
Gott	god
Gott	God
Gottesdienst	church
Gottesfurcht	fear
Grab	grave
Graben	ditch
Grad	degree
Graf	count
Grafschaft	county
Gramm	gram
Grammatik	grammar
Granatapfel	pomegranate
Graph	graph
Graphentheorie	graph theory
Gras	grass
Graugans	greylag goose
Graureiher	grey heron
Grausamkeit	atrocity
Greif	griffin
Greis	old man
Grenada	Grenada
Grenze	border
Grenze	limit
Grieche	Greek
Griechenland	Greece
Griechisch	Greek
Grille	cricket
Grippe	influenza
Grippe	flu
Großbritannien	Great Britain
Großbuchstabe	capital
Große Walachei	Muntenia
Großeltern	grandparent
Großkanizsa	Nagykanizsa
Großmutter	grandmother
Großmutter mütterlicherseits	maternal grandmother
Großmutter väterlicherseits	paternal grandmother
Grube	mine
Grube	pit
Grund	earth
Grundwasserleiter	aquifer
Grundzahl	cardinal
Grundzahlwort	cardinal number
Gruppe	group
Gräfin	countess
Grönland	Greenland
Grönländisch	Greenlandic
Grün	green
Grünspecht	green woodpecker
Guadeloupe	Guadeloupe
Guam	Guam
Guatemala	Guatemala
Guernsey	Guernsey
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Gujaratisch	Gujarati
Gurke	cucumber
Guyana	Guyana
Gähnen	yawn
Gänsegeier	griffon vulture
Göttin	goddess
Göttin	Goddess
Günstling	minion
Gürtel	belt
Güter	goods
Haar	hair
Haarschnitt	haircut
Habakuk	Habakkuk
Habicht	goshawk
Habicht	hawk
Hacke	hoe
Haddsch	hajj
Hadron	hadron
Hafen	port
Hafen	harbour
Hafen	harbor
Hafenstadt	port
Hafer	oat
Hafnium	hafnium
Hagedorn	hawthorn
Hagel	hail
Hahn	rooster
Hahn	cock
Hai	shark
Haiti	Haiti
Haken	hook
Halbbruder	half brother
Halbinsel	peninsula
Halbkugel	hemisphere
Halbleiter	semiconductor
Halbmesser	radius
Halbwertszeit	half-life
Halleluja	hallelujah
Hallenbad	swimming pool
Hals	neck
Hals	throat
Halskette	necklace
Haltebucht	shoulder
Haltestelle	stop
Halva	halva
Hamburger	hamburger
Hammer	hammer
Hamster	hamster
Hand	hand
Handball	handball
Handbuch	manual
Handel	trade
Handelnde	actor
Handfläche	palm
Handgelenk	wrist
Handlanger	hand
Handlung	act
Handlung	action
Handpuppe	puppet
Handschellen	handcuffs
Handschellen	shackles
Handschuh	glove
Handtuch	towel
Handy	mobile phone
Hanf	hemp
Hardware	hardware
Harem	harem
Harfe	harp
Harmagedon	Armageddon
Harpune	harpoon
Hase	hare
Haselnuss	hazelnut
Haselnuss	hazel
Hassium	hassium
Haufen	heap
Haufen	pile
Hauptstadt	capital
Haus	house
Hausanhalten	house arrest
Hausaufgaben	homework
Hausfrau	housewife
Hausmaus	house mouse
Haut	skin
Havanna	Havana
Haß	hatred
Hebamme	midwife
Hebräer	Hebrew
Hebräisch	Hebrew
Hecht	pike
Heck	stern
Hedonismus	hedonism
Hedschra	Hegira
Hedschra	Hijra
Hefe	yeast
Heiligabend	Christmas Eve
Heilige Geist	Holy Ghost
Heilige Geist	Holy Spirit
Heiligenschein	halo
Heiliges Römisches Reich	Holy Roman Empire
Heilung	cure
Heim	home
Heimat	homeland
Heimat	home
Heinrich	Henry
Heißluftballon	balloon
Held	hero
Heldin	heroine
Helene	Helen
Helfer	servant
Helikopter	helicopter
Helium	helium
Helm	helmet
Hemd	shirt
Hemisphäre	hemisphere
Hengst	stallion
Hengstfohlen	colt
Henne	hen
Heranwachsender	youth
Herbst	autumn
Herd	stove
Hering	herring
Hermann	Herman
Hermaphrodit	hermaphrodite
Hermelin	ermine
Herodot	Herodotus
Heroin	heroin
Herr	mister
Herr	lord
Herr	gentleman
Herz	heart
Herzchen	heart
Herzmuscheln	cockle
Herzog	duke
Herzogin	duchess
Hesiod	Hesiod
Heterosexualität	heterosexuality
Heu	hay
Heuchelei	hypocrisy
Heuristik	heuristic
Heuschnupfen	hay fever
Heuschrecke	grasshopper
Heuschrecke	locust
Heute	today
Hexe	witch
Hilfe	help
Hilfsmittel	resource
Hilfsverb	auxiliary verb
Himbeere	raspberry
Himmel	heaven
Hindernis	obstacle
Hindi	Hindi
Hinduismus	Hinduism
Hinterbacke	buttock
Hippokrates	Hippocrates
Hirnstamm	brain stem
Hirsch	deer
Hirschkäfer	stag-beetle
Hirse	millet
Hirt	shepherd
Hisbollah	Hezbollah
Hitze	heat
Hobbit	hobbit
Hobby	hobby
Hobel	plane
Hochzeit	wedding
Hockey	hockey
Hoden	testicle
Hof	yard
Hoffnung	hope
Holmium	holmium
Holunderbeere	elderberry
Holz	wood
Holz	timber
Holzblasinstrument	woodwind instrument
Holzkohle	charcoal
Homosexualität	homosexuality
Homosexueller	homosexual
Homosexueller	gay
Homosexueller	queer
Homöopathie	homeopathy
Honduras	Honduras
Hongkong	Hong Kong
Honig	honey
Honig	butter up
Honigbiene	honey bee
Honigbiene	honeybee
Horizont	horizon
Hormon	hormone
Horn	horn
Hornisse	hornet
Hornklee	lotus
Hose	pants
Hose	trousers
Hosenschlitz	fly
Hotel	hotel
House	house music
Hr	Mr
Hubble-Konstante	Hubble constant
Huf	hoof
Hufeisen	shoe
Hufeisen	horseshoe
Hufschmied	blacksmith
Huhn	chicken
Hummel	bumblebee
Hummer	lobster
Humor	humour
Humor	humor
Hund	dog
Hundeleine	leash
Hunger	hunger
Hungersnot	famine
Hupe	horn
Hure	whore
Hurensohn	son of a bitch
Hurensohn	son of a whore
Hurrikan	hurricane
Husar	hussar
Hut	hat
Hymen	hymen
Hyperbel	hyperbola
Hypotenuse	hypotenuse
Hypothek	mortgage
Hyäne	hyena
Hälfte	half
Hängematte	hammock
Häufigkeit	frequency
Höhe	height
Höhe	altitude
Höhle	cave
Höhle	den
Hölle	hell
Hüfte	hip
Hügel	hill
Hündin	bitch
Hütte	hut
Ich	ego
Ich liebe dich	I love you
Ich mag dich	I love you
Ichthyologie	ichthyology
Ideal	ideal
Idee	idea
Identität	identity
Idiom	idiom
Idiot	idiot
Igel	hedgehog
Ikonostase	iconostasis
Ilmenit	ilmenite
Iltis	polecat
Imperativ	imperative
Imperialismus	imperialism
Imperium	empire
Inder	Indian
Index	index
Indianer	Indian
Indien	India
Indium	indium
Indonesien	Indonesia
Indonesier	Indonesian
Indonesisch	Indonesian
Indus-Kultur	Indus Valley Civilization
Infarkt	infarct
Inflation	inflation
Informatik	computer science
Information	information
Ingenieur	engineer
Ingwer	ginger
Inhalt	content
Innovation	innovation
Insekt	insect
Insel	island
Insel Man	Isle of Man
Instandhaltung	service
Instrument	instrument
Instrument	tool
Instrumental-Kasus	instrumental case
Instrumental-Kasus	instrumental
Intelligenz	intelligence
Interesse	interest
Interferon	interferon
Interlingua	Interlingua
Internationales phonetisches Alphabet	International Phonetic Alphabet
Internet	Internet
Intervall	window
Invasion	invasion
Iod	iodine
Ionisches Meer	Ionian Sea
Irak	Iraq
Iraker	Iraqi
Iran	Iran
Ire	Irish
Irene	Irene
Iridium	iridium
Iris	iris
Irisch	Irish
Irland	Ireland
Ironie	irony
Irre	nut
Isaak	Isaac
Islam	Islam
Island	Iceland
Isländisch	Icelandic
Ismael	Ishmael
Israel	Israel
Israeli	Israeli
Ist die Katze aus dem Haus, tanzen die Mäuse auf dem Tisch	when the cat's away the mice will play
Italien	Italy
Italiener	Italian
Italienisch	Italian
Ixion	Ixion
Jagd	hunt
Jagdhund	hound
Jaguar	jaguar
Jahr	year
Jahr des Herrn	anno Domini
Jahr des Herrn	Anno Domini
Jahreszeit	season
Jahrhundert	century
Jahrtausend	millennium
Jahrzehnt	decade
Jainismus	Jainism
Jakob	James
Jakob	Jacob
Jakobsmuschel	scallop
Jamaika	Jamaica
Januar	January
Janus	Janus
Japan	Japan
Japaner	Japanese
Japanisch	Japanese
Japanische Meer	Sea of Japan
Jargon	jargon
Jazz	jazz
Jeans	jeans
Jedermann	everybody
Jehova	Jehovah
Jehovas Zeuge	Jehovah's Witnesses
Jemen	Yemen
Jeremia	Jeremiah
Jerusalem	Jerusalem
Jesaja	Isaiah
Jesus	Jesus
Jiddisch	Yiddish
Joch	yoke
Joghurt	yoghurt
Johann	John
Johanna	Jane
Johannes	John
Johannisbeere	currant
Jordan	Jordan
Jordanien	Jordan
Josef	Joseph
Joule	joule
Journalismus	journalism
Jude	Jew
Judentum	Judaism
Judo	judo
Jugend	youth
Jugendlicher	teenager
Jugoslavien	Yugoslavia
Juli	July
Julia	Juliet
Junge	boy
Junge	young
Junge	cub
Jungfrau	virgin
Jungfrau	Virgo
Jungfrau Maria	Virgin Mary
Junggeselle	bachelor
Jungs	boy
Jungsteinzeit	Neolithic
Juni	June
Justin	Justin
Juwel	jewel
Jäger	hunter
Jüdin	Jewess
Kaaba	Caaba
Kabel	cable
Kabeljau	cod
Kabine	car
Kabul	Kabul
Kachel	tile
Kadaver	cadaver
Kadmium	cadmium
Kaffee	coffee
Kaffeepflanze	coffee
Kai	wharf
Kai	quay
Kairo	Cairo
Kaiser	emperor
Kakao	cocoa
Kaktus	cactus
Kalb	calf
Kalbfleisch	veal
Kalender	calendar
Kali	Kali
Kalifornien	California
Kalium	potassium
Kalk	lime
Kalkstein	limestone
Kalmar	squid
Kalzium	calcium
Kambodscha	Cambodia
Kamel	camel
Kamel	Camelus dromedarius
Kamerun	Cameroon
Kamin	fireplace
Kamin	chimney
Kamm	comb
Kampagne	campaign
Kampf	struggle
Kampf	fight
Kanada	Canada
Kanadagans	Canada goose
Kanadier	Canadian
Kanarienvogel	canary
Kandidat	candidate
Kaninchen	rabbit
Kanone	cannon
Kanton Genf	Geneva
Kap Verde	Cape Verde
Kap der Guten Hoffnung	Cape of Good Hope
Kapillare	capillary
Kapital	capital
Kapitalismus	capitalism
Kapitalstrafe	capital punishment
Kapitel	chapter
Kapitol	capitol
Kapstadt	Cape Town
Karambolagen	billiards
Karamell	caramel
Karatschi	Karachi
Kardinal	cardinal
Kardiologe	cardiologist
Karelisch	Karelian
Karfreitag	Good Friday
Karl	Charles
Karlovac, Karlstadt	Karlovac
Karpfen	carp
Karriere	career
Kartei	file
Kartoffel	potato
Kasachstan	Kazakhstan
Kasan	Kazan
Kaschubisch	Kashubian
Kaserne	base
Kaspisches Meer	Caspian Sea
Kastanie	chestnut
Kastanienbraun	maroon
Kaste	caste
Kasten	box
Kastrierung	castration
Kasus	case
Katalane	Catalan
Katalanisch	Catalan
Katalonien	Catalonia
Katamaran	catamaran
Katapult	catapult
Katar	Qatar
Kategorie	category
Kater	tom
Katharina	Catherine
Kathedrale	cathedral
Katheter	catheter
Katze	cat
Katzenjammer	hangover
Kaufmann	merchant
Kaugummi	chewing gum
Kaukasus	Caucasus
Kaulquappe	tadpole
Kaviar	caviar
Kehle	throat
Kehlkopf	larynx
Keil	wedge
Keks	cookie
Keks	biscuit
Keller	basement
Kelte	Celt
Kenia	Kenya
Kenner	connoisseur
Kenntnis	science
Keramik	ceramic
Kerl	dude
Kerl	boy
Kern	heart
Kerngehäuse	core
Kerze	candle
Kerzenhalter	candlestick
Kette	chain
Kettensäge	chainsaw
Ketzer	heretic
Keyboard	keyboard
Khartum	Khartoum
Kichererbse	chickpea
Kilogramm	kilogram
Kilometer	kilometre
Kilometer	kilometer
Kind	child
Kinderfrau	nurse
Kinn	chin
Kino	cinema
Kino	picture
Kirche	church
Kirchhof	cemetery
Kirchhof	graveyard
Kirgisistan	Kyrgyzstan
Kiribati	Kiribati
Kirsche	cherry
Kissen	cushion
Kiste	case
Kiwi	kiwi fruit
Kiwi	kiwi
Klafter	fathom
Klammeraffe	at sign
Klammeraffe	at symbol
Klapperschlange	rattlesnake
Klarinette	clarinet
Klassifikation	classification
Klatsch	gossip
Klaue	claw
Klavier	piano
Klebstoff	glue
Klee	clover
Kleid	dress
Kleidung	clothes
Kleie	bran
Kleine Walachei	Oltenia
Kleinspecht	lesser spotted woodpecker
Klempner	plumber
Kleopatra	Cleopatra
Klette	burdock
Klinge	blade
Klingel	gong
Klingelton	ring tone
Klingonisch	Klingon
Klippe	cliff
Klischee	cliché
Klitoris	clitoris
Klosett	bathroom
Kloster	monastery
Klub	club
Kläger	plaintiff
Knappe	boy
Kneipe	pub
Knie	knee
Kniescheibe	kneecap
Knoblauch	garlic
Knochen	bone
Knospe	eye
Knospe	bud
Knoten	knot
Knäuel	ball
Knöchel	ankle
Koala	koala
Kobalt	cobalt
Kobold	goblin
Kobra	cobra
Koch	cook
Kochbuch	cookbook
Kode	code
Koffer	suitcase
Koffer	trunk
Koffer	portmanteau
Kofferraum	trunk
Kohl	cabbage
Kohle	coal
Kohle	carbon
Kohlenhydrat	carbohydrate
Kohlenstoff	carbon
Kohlenstoffdioxid	carbon dioxide
Kohlenstoffmonoxid	carbon monoxide
Kohlmeise	great tit
Kohlrübe	swede
Kohtla-Järve	Kohtla-Järve
Kojote	coyote
Kokain	cocaine
Kokosnuss	coconut
Kolibri	hummingbird
Kolon	colon
Kolonie	colony
Koloss von Rhodos	Colossus of Rhodes
Kolumbien	Columbia
Kolumbien	Colombia
Koma	coma
Komet	comet
Komitee	committee
Komitologie	comitology
Komma	comma
Kommentar	comment
Kommunismus	communism
Kommunist	communist
Komoren	Comoros
Komparativ	comparative
Kompass	compass
Komplexe Zahl	complex number
Komplexität	complexity
Komponente	component
Konferenz	conference
Konflikt	conflict
Kongo	Congo
Konjunktion	conjunction
Konjunktiv	subjunctive
Konkurrenz	competition
Konsens	consensus
Konsonant	consonant
Konstantin	Constantine
Konstantinopel	Constantinople
Konsum	consumption
Kontakt	contact
Kontaktlinse	contact lens
Kontinent	continent
Kontrolle	control
Konversation	conversation
Konzentrationslager	concentration camp
Konzept	concept
Koordinate	coordinate
Kopenhagen	Copenhagen
Kopf	head
Kopfkissen	pillow
Kopie	copy
Kopra	copra
Koralle	coral
Koran	Qur'an
Korb	basket
Korea	Korea
Koreaner	Korean
Koreanisch	Korean
Kormoran	cormorant
Korn	grain
Kornisch	Cornish
Korridor	corridor
Korsett	corset
Kosmologie	cosmology
Kosovo	Kosovo
Koteletten	sideburns
Krabbe	crab
Kraft	power
Kraft	force
Kragen	collar
Kran	crane
Kranich	crane
Krankenhaus	hospital
Krankenschwester	nurse
Krankheit	illness
Krankheit	disease
Krapfen	doughnut
Krawatte	tie
Krawatte	necktie
Kreativität	creativity
Krebs	cancer
Krebs	Cancer
Krebstier	crustacean
Kreide	chalk
Kreide	chaulk
Kreis	circle
Kreta	Crete
Kreuz	cross
Kreuz	club
Kreuz	clubs
Kreuzotter	viper
Kreuzworträtsel	crossword
Kreuzzug	Crusade
Kreuzzug	crusade
Kriechtier	reptile
Krieg	war
Krieger	warrior
Kriegsführung	warfare
Kriegsgefangene	prisoner of war
Kriminelle	criminal
Krimtatarisch	Crimean Tatar
Krise	crisis
Kristall	crystal
Kristallglas	crystal
Kriterium	criterion
Kritik	criticism
Kroate	Croatian
Kroatien	Croatia
Kroatisch	Croatian
Krokodil	crocodile
Krone	crown
Kronleuchter	chandelier
Kruste	crust
Krypton	krypton
Kryptonit	kryptonite
Krähe	crow
Krätze	scabies
Kröte	toad
Krücke	crutch
Kuba	Cuba
Kubismus	cubism
Kubus	cube
Kuchen	cake
Kuckuck	cuckoo
Kugel	sphere
Kugel	ball
Kugel	bullet
Kugellager	ball bearing
Kugelschreiber	ballpoint pen
Kuh	cow
Kultur	culture
Kummer	sorrow
Kunde	customer
Kunst	art
Kupfer	copper
Kurdisch	Kurdish
Kurdistan	Kurdistan
Kurier	messenger
Kurs	course
Kuwait	Kuwait
Kuß	kiss
Kyanit	kyanite
Kyōto	Kyoto
Käfer	beetle
Käfig	cage
Kälte	cold
Känguru	kangaroo
Käse	cheese
Kätzchen	kitten
Kätzchen	kitty
Köcher	quiver
Köln	Cologne
König	king
Königin	queen
Königreich	kingdom
Körper	body
Körper	field
Küche	kitchen
Kühlschrank	refrigerator
Küken	chick
Kürbis	pumpkin
Küste	coast
Labirint	labyrinth
Lachmöwe	black-headed gull
Lachs	salmon
Lack	lac
Lacrosse	lacrosse
Laden	shop
Lage	layer
Lager	warehouse
Lager	bed
Lahar	lahar
Laken	sheet
Laken	linen
Lama	llama
Lama	lama
Lamm	lamb
Land	country
Land	land
Landkarte	map
Landkreis	county
Landmine	land mine
Landwirtschaft	agriculture
Langeweile	boredom
Lanthan	lanthanum
Laos	Laos
Laote	Lao
Laote	Laotian
Laotisch	Lao
Laotisch	Laotian
Laptop	laptop
Larve	larva
Laser	laser
Lastauto	truck
Lastkahn	barge
Latein	Latin
Laterne	lantern
Lauchzwiebel	scallion
Laura	Laura
Laus	louse
Lautsprecher	speaker
Lautstärke	volume
Lavendel	lavender
Lawine	avalanche
Lawrencium	lawrencium
Leben	life
Lebenselixier	elixir of life
Lebenslauf	curriculum vitae
Leber	liver
Lebermoos	liverwort
Leder	leather
Leerzeichen	space
Legierung	alloy
Lehm	clay
Lehrbuch	textbook
Lehrer	teacher
Lehrstunde	lesson
Leiche	corpse
Leiche	body
Leier	lyre
Leistung	power
Leistung	feat
Leiter	conductor
Leiter	ladder
Lemur	lemur
Lende	loin
Lendenschnitte	steak
Lenkrad	steering wheel
Leopard	leopard
Lerche	lark
Lerche	skylark
Lesbe	lesbian
Lesotho	Lesotho
Lette	Latvian
Lettisch	Latvian
Lettland	Latvia
Leukämie	leukemia
Leute	people
Levitation	levitation
Lexikographie	lexicography
Lexikon	encyclopaedia
Libanon	Lebanon
Libelle	dragonfly
Liberation Tigers of Tamil Eelam	Tamil Tigers
Liberia	Liberia
Libyen	Libya
Licht	light
Lichtgeschwindigkeit	speed of light
Lichtjahr	light year
Lichtquelle	light
Liebe	love
Liebe machen	make love
Liechtenstein	Liechtenstein
Lied	song
Lift	lift
Likör	liqueur
Lilie	lily
Limonade	lemonade
Limonade	soda
Limonade	soft drink
Limone	lime
Linde	lime
Lineal	ruler
Linguistik	linguistics
Link	link
Linke	left
Linse	lens
Lippe	lip
Lippenstift	lipstick
Lissabon	Lisbon
Litauen	Lithuania
Litauer	Lithuanian
Litauisch	Lithuanian
Literatur	literature
Lithium	lithium
Liturgie	liturgy
Livisch	Livonian
Logarithmus	logarithm
Logik	logic
Lohn	wage
Lokativ	locative case
Lokomotive	engine
Lombardei	Lombardy
London	London
Lorenz	Laurence
Luchs	lynx
Ludwig	Louis
Luft	air
Luft	sky
Luftfahrt	aviation
Luftwaffe	air force
Lukas	Luke
Lukian	Lucian
Lump	lumpsucker
Lunge	lung
Lusttropfen	pre-ejaculate
Lutetium	lutetium
Luxemburg	Luxembourg
Lysergsäure-diethylamid	acid
Lysin	lysine
Lächeln	smile
Länge	length
Lärche	larch
Lärm	noise
Läufer	bishop
Löffel	spoon
Lösung	solution
Löwe	lion
Löwe	Leo
Löwenzahn	dandelion
Löwin	lioness
Löß	loess
Lüge	lie
Lügner	liar
MWSt	VAT
Maas	Meuse
Machete	machete
Macht	power
Madagaskar	Madagascar
Madrid	Madrid
Magazin	magazine
Magen	stomach
Magnesium	magnesium
Magnet	magnet
Magnetismus	magnetism
Mahl	meal
Mai	May
Mailand	Milan
Mairübe	turnip
Mais	maize
Mais	corn
Majonäse	mayonnaise
Makedonien	Macedonia
Makrele	mackerel
Makroökonomie	macroeconomics
Mal	time
Malaiisch	Malay
Malaria	malaria
Malawi	Malawi
Malayalam	Malayalam
Malaysia	Malaysia
Malediven	Maldives
Maler	painter
Mali	Mali
Mallorca	Majorca
Malta	Malta
Mama	mum
Mammut	mammoth
Mandarin	Mandarin
Mandarin	mandarin
Mandarine	mandarin orange
Mandel	almond
Mandelbaum	almond
Manga	manga
Mangan	manganese
Mango	mango
Mangobaum	mango
Manguste	mongoose
Manila	Manila hemp
Maniok	cassava
Manitoba	Manitoba
Mann	man
Mannschaft	crew
Mannschaft	team
Mantel	coat
Marathon	marathon
Marder	marten
Margarete	Margaret
Maria	Mary
Marienkäfer	ladybird
Marienkäfer	ladybug
Marihuana	marijuana
Marine	navy
Marineamt	navy
Marionette	marionette
Mark	marrow
Mark	mark
Markgraf	margrave
Markt	market
Marmelade	jam
Marmelade	jelly
Marmor	marble
Marokko	Morocco
Mars	Mars
Marsch	march
Marshallinseln	Marshall Islands
Marshallisch	Marshallese
Marsianer	Martian
Martha	Martha
Martin	Martin
Martinique	Martinique
Marxismus	Marxism
Maschine	machine
Maschinengewehr	machine gun
Maschinist	engineer
Maskat	Muscat
Massaker	massacre
Massaker	carnage
Massenvernichtungswaffe	weapon of mass destruction
Massenvernichtungswaffen	weapons of mass destruction
Mast	mast
Mast	pylon
Masturbation	masturbation
Material	stuff
Materie	matter
Mathematik	mathematics
Mathematiker	mathematician
Matratze	mattress
Matrix	matrix
Matrose	sailor
Matthias	Matthew
Mauer	wall
Maulbeere	mulberry
Maulesel	hinny
Maultier	mule
Maultrommel	Jew's harp
Maulwurf	mole
Mauretanien	Mauritania
Mauritius	Mauritius
Maus	mouse
Mayotte	Mayotte
Mazedonisch	Macedonian
Maßstab	scale
McDonald’s	McDonald's
Mechanik	mechanics
Mechaniker	mechanic
Medaille	medal
Meditation	meditation
Medizin	medicine
Meer	sea
Meerrettich	horseradish
Meerschweinchen	guinea pig
Mehl	flour
Mehl	meal
Mehrheit	majority
Mehrsprachigkeit	multilingualism
Mehrwertsteuer	value added tax
Meile	mile
Meinung	opinion
Meise	tit
Meitnerium	meitnerium
Meißel	chisel
Mekka	Mecca
Melancholie	melancholy
Melanom	melanoma
Melasse	molasses
Melasse	treacle
Melodie	melody
Melone	melon
Mendelevium	mendelevium
Menge	set
Mengenlehre	set theory
Menora	menorah
Menorca	Minorca
Mensch	Man
Mensch	human
Mensch	man
Mensch	human being
Menschenaffe	ape
Menschenrechte	human rights
Menstruation	menstruation
Menuett	minuet
Menü	menu
Merkur	Mercury
Messer	knife
Messing	brass
Met	mead
Metall	metal
Metallurgie	metallurgy
Metapher	metaphor
Metaphysik	metaphysics
Metastase	metastasis
Meter	meter
Meter	metre
Methan	methane
Metro	metro
Metzger	butcher
Mexiko	Mexico
Mexiko-Stadt	Mexico City
Miau	meow
Mica	Micah
Michael	Michael
Micky Maus	Mickey Mouse
Mikronesien	Micronesia
Mikrowellenherd	microwave oven
Milan	kite
Milch	milk
Milchmädchen	milkmaid
Milchstraße	galaxy
Milchstraße	Milky Way
Milliarde	milliard
Milliarde	billion
Milliardär	billionaire
Millimeter	millimetre
Million	million
Millionär	millionaire
Millisekunde	millisecond
Milz	spleen
Milzbrand	anthrax
Minarett	minaret
Mine	mine
Mineralogie	mineralogy
Minister	minister
Minute	minute
Minze	mint
Mirandés	Mirandese
Miriam, Mirjam	Miriam
Missbrauch	abuse
Misserfolg	failure
Misshandlung	abuse
Mississippi	Mississippi
Missouri	Missouri
Mist	manure
Mistel	mistletoe
Mit den Wölfen heulen	when in Rome, do as the Romans do
Mitgift	dowry
Mitglied	member
Mitleid	pity
Mitochondrium	mitochondrion
Mittag	noon
Mittagessen	lunch
Mittel	mean
Mittel-	mean
Mittelalter	Middle Ages
Mitteleuropa	Central Europe
Mittelfinger	middle finger
Mittelhirn	midbrain
Mittelmeer	Mediterranean Sea
Mittelsteinzeit	Mesolithic
Mitternacht	midnight
Mittwoch	Wednesday
Moa	moa
Mobiltelefon	cell phone
Modell	model
Modem	modem
Mohn	poppy
Mokscha	Moksha
Moldau	Moldova
Molekül	molecule
Moltebeere	cloudberry
Molybdän	molybdenum
Moment	minute
Monaco	Monaco
Monarchie	monarchy
Monat	month
Monat	moon
Mond	Moon
Mond	moon
Mongole	Mongolian
Mongolei	Mongolia
Mongolisch	Mongolian
Monitor	monitor
Monopol	monopoly
Monotheismus	monotheism
Monster	monster
Monsun	monsoon
Montag	Monday
Moor	marsh
Moos	moss
Moosbeere	cranberry
Moral	morality
Mord	murder
Morgen	morning
Morphem	morpheme
Mosambik	Mozambique
Moschee	mosque
Moses	Moses
Moskau	Moscow
Motiv	motive
Motor	motor
Motor	engine
Motorrad	motorcycle
Motorrad	bike
Motte	moth
Mount Everest	Mount Everest
Muay Thai	Muay Thai
Mufflon	mouflon
Muggel	Muggle
Multiplikation	multiplication
Multiversum	multiverse
Mumie	mummy
Mumps	mumps
Mund	mouth
Murmeltier	marmot
Muschel	mussel
Muschi	pussy
Muse	Muse
Muse	muse
Museum	museum
Musical	musical
Musik	music
Musikant	musician
Muskat	nutmeg
Muskel	muscle
Muslim	Muslim
Mutter	mother
Mutter	nut
Mutterleib	womb
Muttermal	mole
Muttermal	birthmark
Mutterschaf	ewe
