# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
composé nitré	nitro compound
composé organique azoté	organonitrogen compound
composé organique oxygéné	organooxygen compound
composé organochloré	organochlorine compound
composé organohalogèné	organohalogen compound
composé organométallique	organometallic compound
composé organophosphoré	organophosphorous compound
composé organosulfuré	organosulphur compound
composés aliphatiques	aliphatic compound
compresseur	compressor
compression	compression
comptabilité	accountancy
comptabilité	accounting
comptabilité	bookkeeping
comptabilité de l'environnement	environmental accounting
comptabilité environnementale nationale	national environmental accounting
comptabilité nationale	national accounting
comptabilité écologique	ecological bookkeeping
compte	account
compétence administrative	administrative competence ; administrative ability
compétence législative	legislative competence
compétition ; compétition biologique	competition
compétitivité	competitiveness
compétitivité internationale	international competitiveness
comuse ; cornemuse	bagpipes
concentration	concentration
concentration de polluant	pollutant concentration
concentration en soufre	sulphur concentration
concentration maximale admissible	maximum admissible concentration
concentration maximale d'immission	maximum immission concentration
concentration économique	economic concentration
concept d'environnement	concept of environment
concession	concession
concombre	cucumber
concours	competitive examination
concurrence ; concurrence économique ; compétition économique	economic competition
condensation	condensation (process) ; condensation
condition de vie	living condition
condition physique	physical conditions
conditionnement	preparation for market
conductivité	conductivity ; electrical conductivity
conflit	conflict
conflit d'intérêts	conflict of interests
conflit d'objectifs	conflict of aims
conflit international	international conflict
confort acoustique	acoustic comfort
conférence	conference
congrès	congress
congé ; vacances	holiday ; opor-garai
conifère	conifer
conifère	coniferous tree
conjoncture	economic trend
connaissances indigènes	indigenous knowledge
conscience civique	citizen awareness
conscience environnementale	environmental awareness
conservation	conservation
conservation de la preuve	preservation of evidence
conservation des aliments	food preservation
conservation des monuments	conservation of monuments
conservation des ressources	resource conservation
conservation des ressources naturelles	natural resource conservation
conserve	preserve
consideración	consideration
consommation	consumption
consommation d'électricité	electricity consumption
consommation d'énergie	energy consumption
consommation d'énergie primaire	primary energy consumption
consommation de combustible	fuel consumption
consommation de matières premières	raw material consumption
consommation de pétrole	petroleum consumption
consommation du paysage	landscape consumption
consonne	consonant
constellation	constellation
constitution	constitution
construction "verte"	green building
construction avec des matériaux recyclés	construction with recycled material
construction hydraulique	hydraulic construction
consultation	consultation
conséquence sur l'environnement	environmental consequence
conséquence sur l'environnement ; effet sur l'environnement	effect on the environment ; environmental consequence
contaminant alimentaire	food pollutant
contamination	contamination
contamination ; infection	infection
contamination biologique	biological contamination
contamination chimique	chemical contamination
contamination des denrées alimentaires	food contamination
contamination du fourrage	forage contamination
contamination radioactive	radioactive contamination
conteneur	container
contentieux	litigation
continent	continent
contrat	agreement
contrat	contract
contrat de gestion	management contract
contribution financière	financial contribution
controverse scientifique	scientific dispute
contrôle de l'environnement	environmental control
contrôle de la qualité de l'air	air quality control
contrôle de la qualité de l'air	air quality monitoring
contrôle des immisions	immission control
contrôle des émissions	emission control
contrôle intégré de la pollution	integrated pollution control
contrôle qualité	quality control
conurbation	conurbation
convention	convention
convention bilaterale	bilateral convention
convention internationale	global convention
convention internationale	international convention
convention régionale	regional convention
conversion de l'armement	armament conversion
conversion de l'énergie	energy conversion
coopération	co-operation
coopération au développement	development co-operation
coopération internationale	international co-operation
coopération scientifique	scientific co-operation
coordination	co-ordination
coquillage	shellfish ; shellfish
corail	coral
cordon littoral	barrier beach
cornique	Cornish
corps humain	human body
corps législatif	legislature
correction atmosphérique	atmospheric correction
correction géométrique	geometric correction
corridor urbain	corridor
corrosion	corrosion
corrosivité chimique	chemical corrosivity
corruption	corruption
corse	Corsican ; Corsican
coréen	Korean ; Korean
cosmologie	cosmology
coton	cotton
cou-de-pied	instep
couche	nappy
couche d'inversion	inversion layer
couche d'ozone	ozone layer
couche de couverture (décharge)	landfill covering
couche limite	boundary layer
coude	elbow
coudre	sew
couleur ; couleur ; couleur ; teinte ; teinte	colour ; colour ; colo(u)r
couloir d'animaux	animal corridor
coulée verte	green corridor
courant océanique	ocean current
courbe de progression	progress line
courrier électronique ; courriel ; mail	electronic mail ; email ; e-mail
cours d'eau international	international watercourse
couteau	knife
couvaison	brooding
couverture	covering ; roofing
couverture d'assurance	insurance coverage
couverture spatiale (SIG)	land cover
coût	cost
coût de l'eau	water cost
coût de la pollution	pollution cost
coût de la production électrique	electricity generation cost
coût de protection de l'environnement	environmental protection cost
coût environnemental	environmental cost
craie	chalk
crainte	awe
crapaud	toad
crayon	pencil
creusement	excavation (process) ; excavation ; earthworks ; digging
crime	crime
crime écologique	environmental crime
criminalité	criminality
crique	creek
criquet pélérin	desert locust
cristal	crystal
cristallisation	crystallisation
cristallographie	crystallography
critique littéraire	literature evaluation
critère d'efficacité	efficiency criterion
critère d'évaluation	evaluation criterion
critère d'évaluation environnementale	environmental assessment criterion
critère de qualité de l'environnement	environmental quality criterion
critère de surveillance	monitoring criterion
critères et données de surveillance	environmental criterion
croate	Croatian ; Croation
crocodile	crocodile
croisière	cruising
croisière de plaisance	pleasure cruising
croissance démographique	demographic development
croissance économique	economic growth
croup spasmodique	spasmodic croup
croyance ; acceptation	acceptance ; credence
croûte terrestre ; croûte ; croute ; croute terrestre	earth's crust ; crust ; Earth's crust
crucifix	crucifix
crue	flood
crustacé	crustacean
cryptogame	cryptogam
crâne	skull
créativité	creativity ; inventiveness
crédit	credit
cuiller	spoon
cuir	leather
cuisson	firing
cuivre	copper
culture	cultivation ; tillage
culture	culture
culture de champ	arable farming
culture des bulbes	bulb cultivation
culture environnementale	environmental culture
culture fourragère	forage crop
culture fruitière	fruit cultivation
culture hors sol	hydroculture
culture industrielle	cash crop
culture industrielle	industrial crop
culture irriguée	irrigation farming
culture maraîchère	market gardening
cultures selon les courbes de niveau ; culture selon les courbes de niveau ; culture en courbes de niveau	contour farming
curium	curium
cyanate	cyanate
cyanure	cyanide
cycle biogéochimique	biogeochemical cycle
cycle biologique	biological cycle
cycle de l'azote	nitrogen cycle
cycle de l'eau	hydrologic cycle
cycle de la vie	life cycle
cycle de vie d'un produit	product life cycle
cycle de vie des matériaux	material life cycle
cycle des substances nutritives	nutrient cycle
cyclone	cyclone
cyclone	hurricane
cytologie	cytology
cytotoxicité	cytotoxicity
câble	cable
céleri	celery
céphalopode	cephalopod
céramique	ceramics
cérium	cerium
céréale	grain
césium	caesium
cétacé	cetacean
côte	coast
cœur	heart
danger	hazard
danger biotechnologique	biotechnological hazard
danger environnemental	environmental hazard
danger nucléaire	nuclear hazard
dangers de navigation	navigational hazard
danois	Danish
danse	dance
darmstadtium	darmstadtium
datation	dating
dauphin	dolphin
de bon augure	auspicious
degré d'acidité	acidity degree
delta	delta
demain ; lendemain	tomorrow
demande	demand
demande biochimique en oxygène	biochemical oxygen demand
demande chimique en oxygène	chemical oxygen demand
demande de remboursement	claim for restitution
demi-vie	half-life
dendrochronologie	dendrochronology ; tree-ring dating
dendrométrie	dendrometry
dengue ; grippe tropicale ; petit palu	dengue fever
densité	density
densité de l'habitat	housing density
densité de population	population density
dent	molar ; tooth
dentiste	dentist
dermatologie	dermatology
descendant	decay product
dessalement de l'eau ; dessalage de l'eau	water desalination
dessin industriel ou architectural ; dessin industriel	design (project) ; design ; project design
dessèchement	drying out
destruction de bâtiment	building destruction
destruction de l'habitat	habitat destruction
destruction des poissons	fish kill
dette	debt
dette publique	public debt
deutérium	deuterium
deux	two
devise	currency
devoir officiel	official duty
dialecte	dialect
dialyse	dialysis
diarrhée	diarrhea
diatomées	diatom
dictionnaire ; dico	dictionary
didactique	didactics
difficile ; dur ; compliqué ; épineux ; ardu ; délicat ; malaisé	difficult
diffusion	diffusion
diffusion de polluant	pollutant dispersion
différenciation	differentiation
digesteur	digester
digestion	digestion
digitalisation	digitising
dimanche	Sunday
diminution de la quantité de polluants	pollutant reduction
diminution du bruit	noise abatement
dinde ; dindon	turkey
diocèse ; diocèse	diocese ; diocese
dioxine	dioxin
dioxine-p de dibenzofuranne polychloré	polychlordibenzo-p-dioxin
dioxyde d'azote	nitrogen dioxide
dioxyde de carbone	carbon dioxide
dioxyde de soufre	sulphur dioxide
dioxyde de titane	titanium dioxide
diplomate	diplomat
diptères	dipteran
dire	say
directive	directive
directive CE relative aux biocides	EC directive on biocides
directive CE relative à l'éliminiation des déchets	EC directive on waste disposal
directive CE relative à la protection de l'eau	EC directive on water protection
directive de la CE	EC directive
directive relative à l'EIE (Evaluation de l'impact sur l'environnement)	EIA directive
discours	speech
discrimination	discrimination
dispersion	dispersion
disponible	available
dispositif d'épuration	purification facility
dispositif d'évacuation	exhaust device
dispute	argument
disque dur	hard disk drive ; hard disk ; HD
dissipation d'énergie	energy dissipation
dissolution	dissolution
dissuasif	deterrent
dissuasion	deterrence
dissémination d'organismes	release of organisms
dissémination de micro-organismes mutés	mutated micro-organisms release
distillation	distillation
distorsion de concurrence	distortion of competition
distribution	distribution
distribution commerciale	distributive trade
distribution des polluants	pollutant distribution
distribution internationale	international distribution
diversité biologique ; biodiversité	biodiversity
diversité génétique	genetic diversity
division	division
division internationale du travail	international division of labour
divorce	divorce
dix	ten
doctrine	doctrine
doctrine politique	political doctrine
document	document
documentation	documentation
dodo ; repos ; sommeil	sleep
doigt ; doigt	finger
domaine benthique	benthic division
domaine privé	private domain
domaine public	public domain
domaine public fluvial	public waterways domain
domaine public maritime	public maritime domain
dommage	damage
dommage dû au rayonnement	radiation damage
dommages dus à des manoeuvres militaires	damage from military manoeuvres
don ; donation	donation
donner son accord (à)	assent
donnée environnementale	environmental data
donnée sur les émissions	emission data
donnée économique	economic data
données d'exploitation	operating data
données de mesure de surveillance	monitoring data
données géoréférencées	geo-referenced data
données par individu	per capita data
données sur l'état de l'environnement	data on the state of the environment
dosage	dosage
dose	dose
dose de radiations	radiation dose
dose journalière admissible	acceptable daily intake
dose maximale admissible	NOEL
dose équivalente	equivalent dose
douane	customs
doux	sweet
dragage	dredging
drainage	drainage
droit	law
droit ; droit (science)	law ; law (science)
droit administratif	administrative law
droit civil	civil law
droit commercial	commercial law
droit communautaire	Community law
droit comparé	comparative law
droit constitutionnel	constitutional law
droit de l'environnement	environmental law
droit de l'informatique	data processing law
droit de la concurrence	competition law
droit de la famille	family law
droit de propriété industrielle	industrial property right
droit de pétition	petition right
droit du travail	labour law
droit forestier	forestry law
droit international	international law
droit international public	public international law
droit international économique	international economic law
droit légal	legally protected right
droit maritime	maritime law
droit minier	mining law
droit privé	private law
droit privé international	private international law
droit procédural	procedural law
droit public	public law
droit pénal	criminal law
droit pénal en matière d'environnement	environmental criminal law
droit pénitentiaire	law relating to prisons
droits de l'homme	human rights
droits des animaux	animal rights
droits du citoyen	citizen rights
droits économiques	economic rights
dromadaire	dromedary
dubnium	dubnium
dune	dune
dune de sable	sand dune
dureté	hardness
durée de l'ensoleillement	duration of sunshine
dynamique de population	population dynamics
dyslexie	dyslexia
dysprosium	dysprosium
dé	dice ; die ; die ; die
débat parlementaire	parliamentary debate
débat public	public discussion
débat sur le nucléaire	nuclear debate
débit	flow
débiter	debit
débiteur commun	joint debtor
débroussaillement	bush clearing
décantation	racking
décembre	December
décentralisation	decentralisation
décharge	landfill
décharge	waste dump
décharge	land disposal
décharge d'ordures ménagères	domestic waste landfill
décharge de déchets dangereux	hazardous waste dump
décharge de déchêts radioactifs	radioactive dumping
décharge en haute mer	deep-sea disposal
décharge industrielle	industrial dumping
décharge municipale	municipal dumping
décharge non réglementaire ; décharge sauvage ; décharge non contrôlée	dumping
déchet agricole	agricultural waste
déchet animal	animal waste
déchet chimique	chemical waste
déchet combustible	refuse derived fuel
déchet d'action de dépollution	pollution abatement waste
déchet d'emballage	packaging waste
déchet de construction	building waste
déchet de démolition	demolition waste
déchet de jardin	garden waste
déchet de laboratoire	laboratory waste
déchet encombrant	bulky waste
déchet encombrant	hard-to-dispose-of waste
déchet fermentescible	compostable waste
déchet hospitalier	hospital waste
déchet industriel	industrial waste
déchet inerte	inert waste
déchet liquide	liquid waste
déchet minéral	mineral waste
déchet métallique	metal waste
déchet organique	organic waste
déchet pharmaceutique	pharmaceutical waste
déchet pâteux	paste-like waste
déchet radioactif	radioactive waste ; nuclear waste
déchet urbain	municipal waste
déchets	waste
déchets assimilés aux ordures ménagères	consumer waste
déchets dangereux	hazardous waste
déchets des industries minières	mining waste
déchets plastiques	plastic waste
déchloruration	dechlorination
déchêt résiduel	residual waste
décibel	decibel
décision	decision
décision communautaire	Community ruling
décision provisoire	interim decision
déclaration	declaration ; statement
déclaration d'utilité publique	declaration of public utility
déclaration sur l'impact écologique	environmental impact statement
déclassement de centrale	power station derating
décomposition	decomposition
déconcerté	aback
décontamination	decontamination
décontamination chimique	chemical decontamination
décontamination radioactive	radioactive decontamination
décret ; décret	decree
décret ministériel	ministerial decree
décret sur la protection de l'environnement	environmental protection order
dédommagement financier	financial compensation
défense	defence
défense de l'environnement dans le cadre de l'entreprise	environmental protection in the enterprise
définition	Definition ; definition
déflation	deflation
défoliation	defoliation
déforestation	deforestation
défrichement	land clearing
dégazage de décharge	landfill degasification
dégradabilité	degradability
dégradation	degradation
dégradation de l'environnement	degradation of the environment
dégradation de l'écosystème	ecosystem degradation
dégradation des polluants	pollutant degradation
dégradation des ressources en eau douce	freshwater degradation
dégradation des ressources naturelles	degradation of natural resources
dégraissage	degreasing
dégât animal	animal damage
dégât d'immission	immission damage
dégâts forestiers	forest damage
déjection animale	animal excrement
déjeuner ; déjeuner ; déjeuner ; déjeuner ; repas du midi	lunch ; lunch ; lunch ; lunch ; luncheon
délit	wrongful act
délits à l'encontre de l'environnement	environmental criminality
délégation de pouvoir	devolution
démocratie	democracy
démographie	demography
démontrabilité	demonstrability
dénitrification	denitrification
dénitrification des effluents gazeux	denitrification of waste gas
département (UK) ; département	county
dépense	expenditure
dépense des ménages	household expenditure
dépense publique	public expenditure
déphosphatation	phosphate removal
déplacement d'animaux	animal displacement
dépoussiérage	dust removal
déprédateur	pest
déprédateur des forêts	forest pest
dépérissement forestier	forest deterioration
dépôt ancien	old landfill site
dépôt d'hydrocarbure	hydrocarbon storage tank
dérégulation	deregulation
désastre géologique	geological disaster
désastre pétrolier	oil disaster
désencrage	de-inking
désert	desert
désertification	desertification
désinfectant	disinfectant
désinfection	disinfection
désintoxication	detoxification
désorption	desorption
déssalement	desalination
désulfuration	desulphurisation
désulfuration des combustibles	desulphurisation of fuel
détecteur	detector
détergent	detergent
détourner	avert
détritus de déchiquetage	refuse shredder
détérioration du terrain	field damage
développement biologique	biological development
développement culturel	cultural development
développement du littoral	coastal development
développement du territoire	land development
développement environnemental	environmental development
développement industriel	industrial development
développement local	local development
développement logiciel	software development
développement régional	regional development
développement économique	economic development
déversement de pétrole	oil spill
déversoir	overflow (outlet)
dôme de confinement	containment (nuclear industry) ; containment
eau	water
eau chaude	hot water
eau courante	flowing water
eau d'infiltration	percolating water
eau de baignade	bathing water
eau de baignade douce	bathing freshwater
eau de baignade marine	bathing seawater
eau de drainage	drainage water
eau de fond de cale	bilge water
eau de marée	tidal water
eau de mer	sea water
eau de refroidissement	cooling water
eau de source	spring water
eau de traitement	process water
eau domaniale	demesnial water
eau douce	freshwater
eau fluviale	river water
eau minérale	mineral water
eau non domaniale	non-demesnial water
eau non traitée	raw water
eau pluviale	rain water
eau potable	drinking water
eau salée	salt water
eau saumâtre	brackish water
eau usée	waste water
eau usée domestique	domestic waste water
eau usée industrielle	industrial waste water
eaux	water ; body of water
eaux côtières	coastal water
eaux intérieures	inland water
eaux souterraines	groundwater
eaux usées issues d'un réseau d'assainissement unitaire	combined waste water
ecodéveloppement	ecodevelopment
economie agricole	agricultural economics
ecosystème forestier	forest ecosystem
effet	effect
effet biologique	biological effect
effet biologique de la pollution	biological effect of pollution
effet climatique	climatic effect
effet de combinaison	combination effect
effet de pollution	pollution effect
effet de report	carry-over effect
effet de serre	greenhouse effect
effet des radiations	radiation effect
effet génétique	genetic effect
effet pathologique	pathologic effect
effet psychique	psychic effect
effet psychologique	psychological effect
effet psychosomatique	psychosomatic effect
effet secondaire ; effet concomitant	side effect
effet sur l'homme	effect on man
effet sur la santé	effect on health
effet sur le niveau de l'emploi	employment level effect
effet à long terme	long-term effect
effets électrocinétiques	electrokinetics
efficacité énergétique	energy efficiency
efficience économique-écologique	economical-ecological efficiency
effluent	effluent
effluent agricole	agricultural effluent
effluent gazeux industriel	industrial waste gas
effluent industriel	industrial effluent
effort	effort ; exertion
einsteinium	einsteinium
emballage	packaging
emballage en aluminium	aluminium container
emballage supplémentaire	additional packaging
embryogénèse	embryogenesis
embryon	embryo
emploi	employment
emploi ; métier ; profession ; travail	employment ; employment ; job ; job ; occupation ; work ; work
empoisonnement	poisoning
encapsulation	encapsulation
enchères ; vente aux enchères	auction
enclume	anvil
encouragement et subventions écologiques	environmental subsidy
encre	ink
encyclopédie	encyclopaedia
encéphalite	encephalitis
endocrinologie	endocrinology
endormi	asleep
endroit de passage aménagé pour les animaux	crossing place for animals
energie de la biomasse	biomass energy
enfant	child
engin de chantier	construction equipment
engrais	fertiliser
engrais azote	nitrogenous fertiliser
engrais chimique	chemical fertiliser
engrais inorganique	inorganic fertiliser
engrais phosphate	phosphatic fertiliser
engrais potassique	potassium fertiliser
engrais vert	green manure
enjeu économique de l'environnement	environmental economy issue
ennemi ; ennemi	enemy
enquête ; investigation	detection
enquête d'utilité publique	public benefit inquiry
enquête publique	public inquiry
enquête sociale	social survey
enregistrement	registration
enregistrement d'images	image registration
enrichissement	enrichment
enseignement	teaching
enseignement de l'environnement	environmental teaching
enseignement général	general education
enseignement primaire	primary education
enseignement secondaire	secondary education
enseignement supérieur	higher education
enseigner	teach
ensemble	together
entraide judiciaire	judicial assistance
entre	between
entrepreneur	entrepreneur
entreprise	business
entreprise artisanale	handicraft business
entreprise de démolition	demolition business
entreprise de peinture	painting business
entreprise de réparation	repair business
entreprise de service public	public utility
entreprise environnementale	environmental enterprise
entreprise non respectueuse de l'environnement	environmentally unfriendly firm
entrer	enter
entérovirus	enterovirus
environnement	environment
environnement bâti	built environment
environnement côtier	coastal environment
environnement et emploi	employment and environment
environnement industriel	industrial environment
environnement intérieur	indoor environment
enzyme	enzyme
erbium	erbium
ergonomie	ergonomics
escroquerie	fraud
espace ; espace ; espace (interplanétaire) ; espace interplanétaire	space ; space ; space (interplanetary) ; interplanetary space
espace de loisirs	recreational area
espace naturel	natural area
espace protégé	protected area
espace périurbain	outer space (allocation plan) ; outer space
espace périurbain	periurban space
espace rural	rural area
espace vert	green space
espace vital	living space
espagnol ; castillan ; castillan	Castilian ; Spanish ; Spanish
espoir ; espérance	hope
espèce	species
espèce ; nature ; parties du discours ; partie du discours ; catégorie grammaticale ; classe lexicale	part of speech ; lexical category
espèce animale	animal species
espèce animale menacée	endangered animal species
espèce d'avifaune	bird species
espèce endémique	endemic species
espèce exotique	exotic species
espèce protégée	protected species
espèce rare	rare species
espèce végétale	plant species
espèce végétale menacée	endangered plant species
espèce éteinte	extinct species
espéranto	Esperanto ; Esperanto
essai nucléaire	nuclear test
essence	petrol
esthétique	aesthetics
estimation	estimate
estomac	stomach
estonien	Estonian
estuaire	estuary
et	and
et ; ainsi que	and ; as well as ; in addition to ; together with ; too
ethnographie	ethnography
ethnologie	ethnology
europium	europium
eutrophisation	eutrophication
exception	exception
expertise	appraisal
explicite	explicit
exploitation agricole	agricultural exploitation
exploitation de carrière	quarrying
exploitation de la terre agricole	cultivation of agricultural land
exploitation de nappe souterraine	exploitation of underground water
exploitation des océans	ocean exploitation
exploitation des ressources	resource exploitation
exploitation forestière	forest exploitation
exploitation mixte	mixed farming
exploitation à ciel ouvert	opencast mining ; open-pit mining
exploration	exploration
exploration des ressources de gaz naturel	natural gas exploration
exploration des ressources pétrolières	oil exploration
explosif	explosive
explosion	explosion
explosion nucléaire (accident) ; explosion nucléaire	nuclear explosion (accident) ; nuclear explosion
exportation	export
exportation de déchets dangereux	export of hazardous wastes
exportation de produits chimiques dangereux	hazardous chemical export
exposition	exposure
exposition aux polluants	pollutant exposure
exposition aux rayonnements	radiation exposure
expropriation	expropriation
expérience de laboratoire	laboratory experiment
expérience de terrain	field experiment
expérience scientifique	experiment
expérience sur le long terme	long-term experiment
expérimentation animale	animal experiment
externalité économique	externality
extinction	extinction (ecological) ; extinction
extraction	extraction
extraction de charbon	coal mining
extraction de gaz naturel	natural gas extraction
extraction de gravier	gravel extraction
extraction de mineraux	mineral extraction
extraction de pétrole	oil extraction
extraction de tourbe	peat extraction
extraction des nutriments	nutrient removal
extraction en mer	offshore mining
fabrication industrielle	industrial manufacturing
face ; figure ; visage	face
facile	easy ; piece of cake ; like shooting fish in a barrel
facteur	postman
facteur abiotique	abiotic factor
facteur biotique	biotic factor
facteur d'émission	emission factor
facteur de bioconcentration	bioconcentration factor
facteur géogénique	geogenic factor
facteur écologique	ecological factor
fagne	fen
faille	fault
faim ; faim ; faim	hunger ; hunger ; hunger
faire	do
faisable	viable ; viable ; feasible
faisan	pheasant
falaise	cliff
famille	family
famine	famine
fascisme	fascism
fauchage	mowing
faune	fauna
faune marine	marine fauna
faune sauvage	wild fauna ; wildlife ; wild animals
fauteuil roulant	wheelchair
favorable à l'environnement	environment friendly
fenêtre	window
fer	iron
ferme (bâtiment) ; ferme	farm building
ferme (exploitation) ; ferme	farm
ferme avicole	poultry farming
fermentation	fermentation
fermeture	closing down
fermeture d'une entreprise	closing down of firm
fermium	fermium
ferraille	iron scrap
ferraille électronique	electronic scrap
ferry	ferry
fertilisation	soil fertilisation
fertilité du sol	soil fertility
feu ; incendie	fire
feu d'artifice	firework
feu de prairie	grass fire
feuillage	foliage
feuille	leaf
feuillu	broad-leaved tree
fibre	fibre
fibre de verre	fibreglass
fibre minérale	mineral fibre
fibre naturelle	natural fibre
fibre textile végétale	plant textile fibre
fiel	bile
fille	girl
fille	daughter
film ; pellicule	film
film cinématographique	cinematographic film
film documentaire	documentary film
filtrage d'image	image filtering
filtration	filtration
filtre	filter
filtre acoustique	acoustic filter ; audio filter
financement	financing
financement public	public financing
finances	finances
finances communautaires	Community finance
finances locales	local finance
finances publiques	public finance
fine poussière	fine dust
finnois	Finnish
fioul	fuel oil
fioul ; gazole ; diesel ; mazout ; naphte ; fuel	diesel fuel ; diesel
fioul domestique	domestic fuel
firme	firm ; corporation ; enterprise ; company ; venture
firme multinationale	multinational firm
fission nucléaire	nuclear fission
fixation de l'azote	nitrogen fixation
flamand	Flemish
fleur	flower ; bloom ; blossom
fleuve ; rivière	river
floculant	flocculant
floculation	flocculation
flore	flora (biology) ; flora
flore et faune sauvages	wildlife ; 野生生物
flottation	flotation
flotte ; pluie	rain
fluidique	fluidics
fluidisation	fluidisation
fluor	fluorine
fluoration	fluoridation
flux de polluant	pollutant flow
flèche	arrow
flûte	flute
flûte à bec	recorder
foie	liver
folklore	folklore
fonction publique	public function
fonctionnement du  monde du travail	labour relations
fondamental	fundamental
fonds d'intervention	intervention fund
fonds financier	financial fund
fonds pour l'environnement	environmental fund
fongicide	fungicide
fontaine	fountain
football	football
football américain	American football ; American football
forage	drilling
forage pétrolier	drilling for oil
forces armées	armed forces
forgeron	blacksmith
format électronique de données géo-référencées	GIS digital format
formation	training
formation continue	continuing education
formation des polluants	pollutant formation
formation en matière d'environnement	environmental training
formation initiale	initial training
formation pour adultes	adult education
forme de gouvernement	form of government
forme de marché	market form
forme juridique de l'entreprise	legal form of organisations
forum	newsgroup
forêt	forest
forêt de conifères	coniferous forest
forêt de feuillus	deciduous forest ; deciduous wood
forêt de montagne	mountain forest
forêt mixte	mixed forest
forêt méditérranéenne	Mediterranean forest
forêt naturelle	natural forest
forêt pluviale	rain forest
forêt primaire	primary forest
forêt privée	private forest
forêt tropicale	tropical forest
forêt tropicale humide	tropical rain forest
fossile	fossil
fossé	ditch
fougère	fern
four de cuisine	oven
four industriel	furnace
four tournant	rotary furnace
fourchette	fork
fourmi	ant
fournisseur de services internet ; fournisseur d'accès Internet ; fournisseur d'accès ; FAI	internet service provider ; ISP ; Internet access provider ; Internet service provider
fourniture de chaleur	heat supply
fourniture locale de chaleur	local heat supply
fourrage	fodder ; provender ; forage
fourrière	headland
fourrure	fur
fracture	fracture
frais administratifs	fee
frais de remplacement	replacement cost
fraise	strawberry
francium	francium
français	French ; French
friche industrielle	industrial wasteland
frison	Frisian ; Western Frisian
froid	cold
fromage	cheese
frontière	boundary
frontière nationale	national boundary
fruit	fruit
fréon	freon
fréquentation du public	public attendance
fuite	leakage
fumier	animal manure
fumier	manure
fumigation	fumigation
fumée	smoke
fumée	fume
funérailles ; obsèques	funeral
furanne	furan
fuseau horaire	timezone
fusion	melting
fusion du coeur	core meltdown
fusion nucléaire	nuclear fusion
futaie	timber forest
fécondation	fertilisation ; fecundation
félidé	felid
féroïen ; féringien	Faroese ; Faeroese
février	February
gadolinium	gadolinium
galicien	Galician ; Galician
gallinacé	gallinacean
gallium	gallium
gallois	Welsh ; Welsh
galvanisation	galvanisation
gangrène	gangrene
garage	garage
garantie produits	product liability
garde-côtière	coastguard
garder en stock	stocking
gardien	attendant
gare ; station	station
gare ferroviaire	railway station
gare routière	bus station
garçon	boy
garçon ; serveur	waiter
gastéropode	gastropod
gaz	gas
gaz d'échappement	exhaust gas
gaz d'échappement automobile	motor vehicle exhaust gas
gaz de carneau	flue gas
gaz de combustion	combustion gas
gaz de décharge	landfill gas
gaz liquéfié	liquefied gas
gaz naturel	natural gas
gaz propulseur	propellant
gaz à effet de serre	greenhouse gas
gazoduc	gas pipeline
gazohol	gasohol
gazéification	gasification
gel ; givre	frost
gens	people
germanium	germanium
germe	germ
germination	germination
gestion	management
gestion agricole	agricultural management
gestion commune des déchets banals et spéciaux	dual waste management
gestion comptable	management accounting
gestion de crise	crisis management
gestion de l'électricité	electricity supply industry
gestion de l'énergie	energy management
gestion de la pêche	fisheries management
gestion de la qualité de l'air	air quality management
gestion des eaux urbaines	municipal water management
gestion des ressources	resources management
gestion des ressources naturelles	management of natural resources
gestion des établissements humains	human settlement management
gestion du paysage	landscape management
gestion du recyclage	life-cycle management
gestion déléguée	delegated management
gestion financière	financial management
gestion forestière	forest management
gestion intégrée	integrated management
gestion patrimoniale	patrimonial management
geyser	geyser
gibier ; gibier	game
girafe	giraffe
gisement	mineral deposit
glace	ice
glace	ice cream
glacier	glacier
glaciologie	glaciology
gland	acorn
gland ; glande	gland
glaucome	glaucoma
glossaire	glossary
glycolyse	glycolysis
golf	golf
golfe	gulf
gong	gong
gorge	canyon
gorille	gorilla
gouvernement	government (cabinet)
gouvernement fédéral	federal government
gouverneur	governor
goéland	gull
graine	seed
graisse alimentaire	edible fat
graminée	graminaceous plant
grammaire	grammer ; grammar
grand	long
grand ; grand ; grande	big ; large
grand fond marin	deep sea
grand gibier	big game
grand-père ; aïeul	grandfather
grande installation de combustion	large combustion plant
granite	granite
granulométrie	granulometry
gravier	gravel
graviton	graviton
gravière	gravel pit
gravure	etching
grec	Greek ; Greek
grenade	pomegranate
grenier	attic
grenouille	frog
grippe	influenza ; flu
grossesse ; gestation	pregnancy
grotte	cave
groupe d'action	action group ; action committee
groupe d'intérêt	interest group
groupe de pression	pressure group
groupe social	social group
groupe-cible	target group
groupement de consommateurs	consumer group
groupement forestier	forestry unit
grêle	hail
guerre	war
guerre mondiale	world war
guerre mésologique	environmental warfare
guillotine	guillotine ; guillotine ; guillotine
guitare	guitar
gujarâtî	Gujarati ; Gujarati
gué	ford
guépard	cheetah ; chetah
guêpe	wasp
gymnosperme	gymnosperm
gypse	gypsum
gâteau de filtration	filter cake
gène	gene
génie agricole	agricultural engineering
génie biologique	biological engineering
génie civil	civil engineering
génie génétique	genetic engineering
